id,translated_russian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""У нас теперь есть четырехмесячные мыши, которые не страдают диабетом, а раньше были диабетом"", - добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",0.8720983862876892,0.8899741172790527,0.8809455633163452,0.9384737014770508,0.9297718405723572,0.934102475643158
1,"Доктор Эхуд Ур, профессор медицины в университете Дальхузи в Галифаксе (Новая Шотландия) и председатель клинического и научного отделения канадской ассоциации диабета, предупредил, что исследования еще на ранних стадиях.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",0.8631892204284668,0.8500949740409851,0.856592059135437,0.9374804496765137,0.9320026636123657,0.9347335696220398
2,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отметив, что эти результаты не имеют никакого отношения к людям, у которых уже есть диабет 1 типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",0.8773791790008545,0.9088088274002075,0.892817497253418,0.9682859778404236,0.9767169952392578,0.9724831581115723
3,"В понедельник Сара Даниес, постоянный секретарь Нобелевского комитета по литературе в Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не смог напрямую связаться с Бобом Диланом о том, как он получил Нобелевскую премию по литературе 2016 года, отказался от своих усилий по достижению его.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",0.8931378126144409,0.8897054195404053,0.8914183378219604,0.9323337078094482,0.9297624826431274,0.9310463070869446
4,"Даниев сказал: ""В данный момент мы ничего не делаем. Я позвонил и отправил электронные письма ближайшему сотруднику и получил очень дружелюбные ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",0.9189606308937073,0.8715329766273499,0.8946186900138855,0.9250291585922241,0.8665475249290466,0.8948338627815247
5,"Ранее генеральный директор Ring Джейми Симинофф отметил, что компания началась, когда его звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",0.9248839020729065,0.9111526012420654,0.9179669618606567,0.9782747030258179,0.9525294899940491,0.9652304649353027
6,"Он сказал, что построил дверный звонок WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построил дверной звонок с WiFi, сказал он.",0.9495988488197327,0.9147193431854248,0.9318328499794006,0.9079184532165527,0.903517484664917,0.9057126045227051
7,"Симинофф сказал, что продажи увеличились после его появления в 2013 году в эпизоде ""Айковый танк"", где панель шоу отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",0.9115892648696899,0.9168264865875244,0.9142003655433655,0.9512907266616821,0.9396649599075317,0.9454420804977417
8,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,1.000000238418579,1.000000238418579,1.000000238418579,0.977171003818512,0.9476325511932373,0.9621751308441162
9,"Ring также урегулировал судебный процесс с конкурирующей компанией по охране, корпорацией ADT.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,0.8735522031784058,0.8790924549102783,0.8763135671615601,0.8794293403625488,0.9196162223815918,0.8990739583969116
10,"Хотя одна экспериментальная вакцина, по-видимому, способна снизить смертность от Эболы, до сих пор не было доказано, что никакие лекарства подходят для лечения существующей инфекции.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.","Хотя одна экспериментальная вакцина, похоже, способна снизить смертность от Эбола, до сих пор ни одно лекарство не было четко продемонстрировано как подходящее для лечения существующей инфекции.",0.841655969619751,0.845600962638855,0.8436238169670105,0.9031251072883606,0.8955346941947937,0.8993139266967773
