id,translated_hindi,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"उन्होंने कहा, ""हमारे पास अब चार महीने के बच्चे हैं जो मधुमेह से मुक्त हैं और पहले मधुमेह वाले थे।",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""हमारे पास अब 4 महीने के चूहे हैं जो पहले मधुमेह के थे लेकिन अब गैर-मधुमेह हैं,"" उन्होंने जोड़ा।",0.8312879204750061,0.8079456686973572,0.8194505572319031,0.8583990931510925,0.8417397737503052,0.8499878644943237
1,न्यू स्कॉटिया के हैलीफैक्स में डालहुसी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडा के मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष डॉ. ईहुद उर ने चेतावनी दी कि शोध अभी भी शुरुआती दिनों में है।,"डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. एहुद उर, हलीफैक्स, नोवा स्कोटिया में डलहौजी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडाई मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी शुरुआती चरण में है।",0.8926662802696228,0.8714444637298584,0.8819277286529541,0.9243836998939514,0.917732834815979,0.921046257019043
2,"कुछ अन्य विशेषज्ञों की तरह, वह भी इस बात पर संदेह करते हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह कहते हुए कि इन निष्कर्षों का उन लोगों के लिए कोई प्रासंगिकता नहीं है जिनके पास पहले से ही टाइप 1 मधुमेह है।","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","जैसे कुछ अन्य विशेषज्ञ, वह यह मानने में संदेहशील हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह बताते हुए कि ये निष्कर्ष उन लोगों के लिए कोई प्रासंगिकता नहीं रखते जो पहले से टाइप 1 मधुमेह से प्रभावित हैं।",0.9494987726211548,0.9543449282646179,0.9519156813621521,0.9162471294403076,0.9118698835372925,0.9140532612800598
3,"सोमवार को, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव सारा डैनियस ने स्वीडन में Sveriges रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, 2016 के नोबेल पुरस्कार के विजेता के बारे में बॉब डायलन से सीधे संपर्क करने में असमर्थ, ने उनके पास पहुंचने के अपने प्रयासों को छोड़ दिया था।","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","सोमवार को, सारा डेनियस, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति की स्थायी सचिव, ने स्वीडन के Sveriges Radio पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, जो 2016 के साहित्य में नोबेल पुरस्कार को लेकर बॉब डिलन से सीधे संपर्क नहीं कर पाई, ने उन्हें संपर्क करने के प्रयासों को छोड़ दिया है।",0.8917458057403564,0.8985025882720947,0.8951114416122437,0.9165999293327332,0.9324653148651123,0.9244645237922668
4,"डैनियस ने कहा, ""इस समय हम कुछ नहीं कर रहे हैं। मैंने उनके निकटतम सहयोगी को फोन किया और ईमेल भेजे और बहुत ही मैत्रीपूर्ण उत्तर प्राप्त किए। अभी के लिए, यह निश्चित रूप से पर्याप्त है। ""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","डेनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके निकटतम सहयोगी को कॉल किया है और ईमेल भेजे हैं और बहुत दोस्ताना जवाब मिले हैं। फिलहाल, यह निश्चित रूप से काफी है।""",0.813103437423706,0.7946553230285645,0.8037735819816589,0.9133594036102295,0.912384033203125,0.9128714799880981
5,"इससे पहले, रिंग के सीईओ जेमी सिमिनॉफ ने कहा कि कंपनी तब शुरू हुई जब उनकी गैरेज में उनकी दुकान से उनके दरवाजे की घंटी नहीं सुनी गई थी।","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","पहले, रिंग के सीईओ, जेमी सिमिनॉफ, ने टिप्पणी की कि कंपनी की शुरुआत तब हुई जब उनका डोरबेल उनके गैरेज में उनकी दुकान से सुनाई नहीं देता था।",0.922311544418335,0.9056740403175354,0.9139171242713928,0.8996855020523071,0.8862327337265015,0.8929084539413452
6,उन्होंने कहा कि उन्होंने एक वाईफाई दरवाजा घंटी बनाई।,"उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",उसने कहा कि उसने एक वाईफाई दरवाजा बेल बनाया।,0.852469265460968,0.7854238748550415,0.8175743222236633,0.919730007648468,0.935649037361145,0.9276211857795715
7,सिमिनोफ ने कहा कि 2013 में एक शार्क टैंक एपिसोड में उनके प्रदर्शन के बाद बिक्री बढ़ी जहां शो पैनल ने स्टार्टअप को वित्तपोषित करने से इनकार कर दिया।,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.","सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक के एक एपिसोड में उनके प्रदर्शन के बाद बिक्री में वृद्धि हुई, जहां शो पैनल ने स्टार्टअप के लिए फंडिंग देने से इनकार कर दिया था।",0.9023354649543762,0.8946424126625061,0.8984724879264832,0.9217073917388916,0.9249181151390076,0.9233099222183228
8,"2017 के अंत में, सिमिनॉफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 के अंत में, सिमिनॉफ़ ने शॉपिंग टेलीविज़न चैनल QVC पर प्रदर्शन किया।",0.9783935546875,0.9706858992576599,0.9745244383811951,0.9234308004379272,0.9267300367355347,0.925077497959137
9,रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी एडीटी कॉरपोरेशन के साथ भी मुकदमा सुलझाया।,रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ भी एक मुकदमा निपटाया।",0.8975419998168945,0.8939142227172852,0.8957244157791138,0.9600561857223511,0.9464102983474731,0.9531844258308411
10,"जबकि एक प्रयोगात्मक टीका ईबोला की मृत्यु दर को कम करने में सक्षम प्रतीत होता है, अब तक, कोई दवा मौजूदा संक्रमण के इलाज के लिए उपयुक्त नहीं साबित हुई है।","जबकि एक प्रायोगिक वैक्सीन इबोला से मृत्यु दर में कमी हो सकती है, अब तक, कोई भी ड्रग्स स्पष्ट रूप से संक्रमण का इलाज करने के लिए प्रमाणितनहीं हुआ है.","एक प्रयोगात्मक वैक्सीन ऐसा प्रतीत होता है कि वह इबोला मृत्यु दर को कम करने में सक्षम है, लेकिन अब तक कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्त नहीं साबित हुई है।",0.8170385360717773,0.8287935256958008,0.8228740692138672,0.9098131060600281,0.8859571814537048,0.8977266550064087
11,"एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरू में इस क्षेत्र में आशाजनक दिखाया, लेकिन औपचारिक अध्ययनों से पता चला कि मृत्यु को रोकने में यह कम लाभकारी था।","एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरुआत में इस क्षेत्र में विश्वास दिखाया था, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि मौत को रोकने में प्रत्याशित लाभ की तुलना में इसका लाभ कम था।","एक एंटीबॉडी कॉकटेल, ZMapp, ने प्रारंभ में इस क्षेत्र में उम्मीद दिखाई, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि यह मौत को रोकने में अपेक्षित लाभ कम था।",0.9246304035186768,0.8938353061676025,0.9089720845222473,0.9187670946121216,0.8907439112663269,0.9045385718345642
12,"PALM परीक्षण में, ZMapp एक नियंत्रण के रूप में काम किया, जिसका अर्थ है वैज्ञानिकों ने इसे एक आधार के रूप में इस्तेमाल किया और अन्य तीन उपचारों की तुलना इसकी तुलना की।","PALM परीक्षण में, ZMapp ने एक नियंत्रण के रूप में कार्य किया, जिसका अर्थ है कि वैज्ञानिकों ने इसे बेसलाइन के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की.","PALM परीक्षण में, ZMapp को एक नियंत्रण के रूप में उपयोग किया गया, जिसका अर्थ है कि वैज्ञानिकों ने इसे एक बुनियाद के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की।",0.9520689845085144,0.929215133190155,0.9405032992362976,0.9484916925430298,0.924140989780426,0.9361580014228821
