id,translated_japanese,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"さて , わたし たち は 今 , クレソン に 集め て い る 多く の 小舟 を , よ く し て い る . かつ 積み出帆 し て い る "" .",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,「以前は糖尿病だったが、今は4ヶ月齢の非糖尿病マウスがいる」と彼は付け加えた。,0.5884079933166504,0.6223628520965576,0.6049093008041382,0.5663865804672241,0.6178200244903564,0.5909863710403442
1,"エホデ , マルカテ の 氏族 で は マシャン , クベナテ の アビテ に あ り , その うち の ビクエデバび と タクエ ・ カシワ は 自分 の もの と な っ た . その 力 は 長 く 寄 っ て い る から で あ る .",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,エフド・ウル博士は、ノバスコシア州ハリファックスのダルハウジー大学の医学教授であり、カナダ糖尿病協会の臨床および科学部門の議長として、研究はまだ初期段階にあると警告しました。,0.5943174362182617,0.584719181060791,0.5894792675971985,0.6100122332572937,0.6099288463592529,0.6099705100059509
2,"ほか の 人 たち は , 固 く 決心 し て い る が , 行い を し て もら お う と し て , いや さ れ る こと は でき な い . その 上 に 多数 の 者 を 制 する こと が でき ず , や む の を 知 ら せ て お く こと が でき な い .",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,他は他の専門家と同様に、糖尿病が治るかどうかについて懐疑的であり、これらの発見はすでに1型糖尿病を患っている人々には関係がないことを指摘しています。,0.5516432523727417,0.6033650636672974,0.5763460993766785,0.5506274700164795,0.6062277555465698,0.5770915150642395
3,"アヅモテ に は 寄 る こと な く , ダン びと ノバテ び と アカシャン の 隠れ た 所 に 行 く こと を し な い で , クベノン に は 寄 っ て い る . エクモン ・ クシャン に は 寄 る こと が でき , クシャン に は 寄 る こと が でき な い . エデモテ は 彼 の 周囲 に は 寄 る こと が でき な い .",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,月曜日、スウェーデンアカデミーのノーベル文学委員会の常任書記であるサラ・ダニウスは、スウェーデンのスヴェリゲス・ラジオのラジオ番組で公に発表しました。委員会は2016年ノーベル文学賞を受賞したボブ・ディランに直接連絡を取ることができず、彼に連絡を試みる努力を放棄したと述べました。,0.5608599185943604,0.5646241903305054,0.5627357363700867,0.5788160562515259,0.579572856426239,0.5791942477226257
4,"それ で ダン び と は 言 っ た , "" われわれ は 今 は 何 も し た こと が な い . わたし は 人 を 呼 ん で , その 袋 や ミラ を その 根 に つかわ し た . その 上 どこ か お いで に な っ た の だ "" .",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,ダニウスは言いました。「今、私たちは何もしていません。私は彼の最も近い協力者に電話をかけてメールを送り、とても親切な返事をもらいました。今のところ、それで十分です。」,0.6186191439628601,0.6362825632095337,0.6273266077041626,0.6277360916137695,0.6416894793510437,0.6346360445022583
5,"その 時 , ウレオ クリム , コレテ の 人々 が き て , 彼 の 戸口 に あ る あたり まで , ロデ は その 戸口 に あ っ た . 彼 の 近づ い た とき に は , 鏡板 が れ な かっ た .",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,以前、RingのCEOであるジェイミー・シミノフは、彼のガレージにある店からドアベルの音が聞こえなかったことが、会社が始まるきっかけだったと述べました。,0.5952518582344055,0.606420636177063,0.6007843017578125,0.6038482785224915,0.605873703956604,0.6048592329025269
6,"また一つの塔を築いて,""納めなさい""と言った.",彼はWi-Fiで鳴るドアベルを作ったそうです。,彼はWiFiのドアベルを作ったと言いました。,0.6813181042671204,0.6632195711135864,0.6721469759941101,0.701858639717102,0.6962818503379822,0.6990591287612915
7,"そして 言 わ れ た の で , "" 人々 は , 帆柱 の あと に つ い て の ならわし に 従 っ て 行 く ところ を んじ て い る "" . それ は , コレス の しこ ん だ 所 で あ っ た .",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,シミノフ氏は、2013年に「シャークタンク」のエピソードに出演した後、スタートアップへの資金提供をパネルが拒否したことで売上が増加したと述べました。,0.5564040541648865,0.5740478038787842,0.5650882124900818,0.566655158996582,0.583953857421875,0.5751744508743286
8,"そして , かろうじて , カラデ ・ カジン に い た 時 に , 現れ て から , パトラクス に 現れ て , 出帆 し た .",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末、シミノフはショッピングテレビチャンネルQVCに出演しました。,0.5969045758247375,0.6111822128295898,0.6039590835571289,0.6063653826713562,0.6135949492454529,0.6099587678909302
9,"また , 柔和 で , シャン と , カケル と がま り , クミン に 至 る まで , 守 ら れ て い る .",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,リングは競合のセキュリティ会社、ADTコーポレーションとの訴訟も和解しました。,0.6069825887680054,0.610014796257019,0.6084949374198914,0.612445056438446,0.6090940833091736,0.6107649803161621
10,"かつ , この 援助 者 が 起 っ た の は , 朽ち る こと の な い 罪 を 予告 し た 後 , 朽ち る こと の な い 永遠 の 死 ぬ べ き こと を 示 し て い る 場合 に は , 秘密 を も っ て 与え られ て い る の で あ る .",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,一つの実験的ワクチンはエボラ出血熱の死亡率を減少させることができるようですが、これまでのところ、既存の感染症の治療に適していると明確に示された薬剤はありません。,0.5657384395599365,0.6001061201095581,0.582415759563446,0.5810524821281433,0.6207244396209717,0.6002336144447327
11,"する と , 太陽 が 飛び と な っ て , 野 で は , 約束 さ れ た こと を 報告 し て い る が , 約束 さ れ た もの は , 死 より も はるか に 益 を 得 た もの で あ る .",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,"以下の文を日本語に翻訳します。

「抗体カクテルの一つであるZMappは、当初この分野で希望が持たれていましたが、正式な研究では死亡を防ぐ効果が期待されたほどではないことが示されました。」",0.5665340423583984,0.586832582950592,0.5765047073364258,0.563140869140625,0.5582224726676941,0.5606708526611328
12,"それ は , クレオン の 中 に あ る クミス に 仕え て い た 人 たち の こと で あ っ て , それ は スパ と 同じ 姿 で あ っ た . また , それ は 三 人 の 者 に 似 て い る .",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,PALM試験では、ZMappが対照薬として用いられました。つまり、科学者たちはそれを基準として使用し、他の三つの治療法と比較しました。,0.5782428979873657,0.5995770692825317,0.5887167453765869,0.5970057249069214,0.6108868718147278,0.6038665175437927
13,""" クレセデ び と クミカ は , クレオン の 女 奴隷 で あ っ て , それ を 与え られ た "" と い う の で , クプラ と ベルカ が , われわれ の すべて の 者 の 罪 に よ っ て 救 を 得 よう と する の で あ る .",米国体操連盟（USA Gymnastics）は、米国オリンピック委員会の書簡を支持し、選手全員のための安全な環境づくりを促進するためにオリンピックファミリーの絶対的な必要性を受け入れます。,USA体操は、アメリカオリンピック委員会の手紙を支持し、すべてのアスリートのために安全な環境を促進するというオリンピックファミリーの絶対的な必要性を受け入れています。,0.5863006114959717,0.6000730991363525,0.5931068658828735,0.6038216948509216,0.6276295185089111,0.6154954433441162
14,"わたしたちは,クレスポとクレオンから,わたしたちの利息とクレオンとの利息とに,仕えて 以上のがれようとした. 杯の中で,吹くよりは,吹くよりは仕える者だからである.",私たちは、資格を剥奪するよりも、組織内で意味のある変革を進めた方が選手やクラブ、そしてスポーツに資する可能性があるというUSOCの声明に同意しています。,私たちは、米国オリンピック委員会（USOC）の声明に同意します。つまり、私たちのアスリートやクラブ、そして彼らのスポーツの利益は、認証取り消しよりも、私たちの組織内での意義ある変化を進めることで、より良くされる可能性があるということです。,0.6316210627555847,0.6209773421287537,0.6262539625167847,0.659798800945282,0.6407724618911743,0.650146484375
15,"カボン の 中 に あ っ て , どこ に も 混乱 の な い よう に し , 悲し ん で 行 っ て , なが く きた ら せ られ る こと に よ っ て , 光 が 吹 き , そとげ が あ っ た こと の ため に 消え られ , 堅 く 立 つ こと が でき る か も しれ な い .",米国体操連盟は、ラリー・ナッサー氏の遺族が勇気を持って説明したような虐待がなぜ長期に渡って発覚しなかったかを明らかにするための第三者による調査に協力し、必要かつ適切な変化を受け入れる所存です。,USA体操は、ラリー・ナサールの生存者たちが勇敢に説明したような虐待がどのように長期間にわたり見過ごされてきたのかを明らかにする可能性のある独立した調査を支持し、必要かつ適切な変更を受け入れています。,0.5387527346611023,0.5601621866226196,0.5492489337921143,0.533322811126709,0.5548375844955444,0.5438674688339233
16,"カボン , 打 た れ る 災 を 解 い て み なさ い . 彼 ら は , 混乱 の ぎ 場 , また 他 の 人 たち を 柔和 に し , その 夢 に 従 う こと を 知 ら せ , 彼 ら の 魂 を 安らか に し て , ねたみ および 思い の 中 に あ っ て い る .",米国体操連盟とUSOCは同じ目標を掲げています。アスリートが安全かつ前向きに力を発揮できる環境で夢を追いかけられるように、スポーツとしての体操やその他のスポーツをできるだけ安全なものにすることです。,USA体操連盟とアメリカオリンピック委員会（USOC）は同じ目標を持っています。それは、体操や他のスポーツを、アスリートが安全でポジティブ、そして力強い環境の中で夢を追いかけるためにできる限り安全にすることです。,0.6081511974334717,0.6245608329772949,0.61624675989151,0.6232504844665527,0.6262717843055725,0.6247575283050537
17,"ヨハネ の 氏族 は つ い て の もの で , ヨハネ から 出 た の で あ る . 彼 は 魔術 を 言 い , それ と 羽 と を と る 者 の かしら で あ っ た . その 間 に , ヨハネ が さ と し て お り , ヨハネ から 生れ た の で あ る .",1960年代を通して、ブレジンスキーはジョン・F・ケネディの顧問を務め、その後リンドン・B・ジョンソン政権でも活躍しました。,1960年代を通じて、ブレジンスキーはジョン・F・ケネディの顧問として働き、その後リンドン・B・ジョンソン政権でも活動しました。,0.5583806037902832,0.6004927158355713,0.5786715149879456,0.5583120584487915,0.6005882024765015,0.5786790251731873
18,"クレオン の 人々 は 異邦 人 を 誘惑 し て , 外国 人 に 仕え た . それ から シュマクミク に 至 る まで , ビクワン の アビケル に 仕え , クシワクワム から 及 ん だ .",1976 年の大統領選ではカーターの外交政策について助言し、1977 年から 1981 年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,1976年の選挙中、彼はカーターに外交政策について助言し、その後1977年から1981年まで国家安全保障顧問（NSA）を務め、ヘンリー・キッシンジャーの後を継ぎました。,0.6315419673919678,0.6241397261619568,0.6278190016746521,0.6394973397254944,0.6292668581008911,0.6343408226966858
19,"彼 は , ろば に つな が れ て い る 時 , ダビデ の 給仕 と な っ て い る もの を 手 に つけ , クミン まで 行 く こと が でき , また ,いなめ る 者 , スキ び と , 寄らない 者 , 寄 る べ き 者 , 寄 る べ き 者 , 寄 る べ き 者 "" . これ は 寄 る べ き 者 , 寄 る べ き 者 , アンカテカテリ び と い う もの で あ る .",NSAとしてカーターを補佐し、1978年のキャンプ・デイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン人質事件につながったイラン革命、1979年のソビエトのアフガニスタン侵攻など、世界問題を外交的に処理した。,彼はNSAとして、カーター大統領が外交的に世界の問題を処理するのを支援しました。具体的には、1978年のキャンプデイビッド合意、1970年代後半の米中関係の正常化、1979年のイラン革命によるイラン人質危機、1979年のソビエトのアフガニスタン侵 invasionなどです。,0.5466492176055908,0.5966715216636658,0.5705660581588745,0.5653237700462341,0.5954838991165161,0.5800120234489441
20,"クプロ , クレオン , アンミ テ 行 き , クミン を つ い て , どこ に も 与え られ な い よう に し , あらゆる 点 に お い て も , 入れ て い る 者 も , それ を 受けいれ る こと が でき な い .",ライアン・ゴズリングとエマ・ストーンが出演したこの映画は、すべての主要部門でノミネートされました。,その映画はライアン・ゴスリングとエマ・ストーンが出演し、すべての主要部門でノミネートされました。,0.5562058091163635,0.5956116914749146,0.5752346515655518,0.5662091970443726,0.5967515707015991,0.5810793042182922
21,"目 を さま し て 行 き なさ い . そして , 混乱 と 尊敬 と を 用い る 者 は い な い .",ゴズリングとストーンはそれぞれ主演男優賞と女優賞にノミネートされました。,ゴスリングとストーンは、それぞれ最優秀男優賞と最優秀女優賞にノミネートされました。,0.5733740329742432,0.5682511329650879,0.5708010792732239,0.5791654586791992,0.5688790678977966,0.5739761590957642
22,"このほかには,さやく,クミン,シュワン,クミン,ナフワイ,ナフワイ,ナフトおよびネタネタとの間にある.",最優秀作品賞、監督賞、撮影賞、衣装デザイン賞、映画編集賞、作曲賞、美術賞、音響編集賞、録音賞、脚本賞などにノミネートされました。,他のノミネーションには、最優秀作品賞、監督賞、撮影賞、 costume  design、編集賞、オリジナルスコア、プロダクションデザイン、音響編集、音響ミキシングおよびオリジナル脚本賞が含まれます。,0.5810739994049072,0.5693271160125732,0.5751405954360962,0.6386733651161194,0.6045878529548645,0.6211633682250977
23,"アスンクリト から ふたり の 歌 が あ っ て , クミンナクミン を 打 つ 者 , クミン , クミン を 打 つ 者 が 出 た . その 二 種 は い な く な る し , クミン を 用い る 二 つ の 歌 と で あ っ て , 他 の 人 に と っ て は , その 二 つ の 規定 が あ っ た .",映画に収録されている「オーディション（The Fools Who Dream）」と「シティ・オブ・スターズ」の2曲が最優秀オリジナル曲にノミネートされました。ライオンズゲート・スタジオは、他のどのスタジオよりも多い26のノミネートを受けました。,映画『オーディション（夢を描く者たち）』の「The Fools Who Dream」と「City of Stars」の2曲が最優秀オリジナル歌曲賞にノミネートされました。ライオンズゲートスタジオは26件のノミネートを受け、他のスタジオよりも多くなりました。,0.5860095024108887,0.5898734331130981,0.5879351496696472,0.6016674637794495,0.6068241596221924,0.6042348146438599
24,"アビク に あた っ て , ポンノン テオ ・ ビルネコ に , クミスケルネコ に あて , ひそか に 伝え られ た よう に 威厳 が あ っ た . それ は , 積荷 を 退 か せ , スリヤ 人 に 移 さ せ る ため で あ っ た .",日曜深夜、ドナルド・トランプ米大統領は報道官経由で配信された声明において、米軍がシリアから撤退することを発表しました。,日曜日の遅い時間に、アメリカのドナルド・トランプ大統領は、広報官を通じて声明を発表し、アメリカ軍がシリアを離れることを発表しました。,0.5840817093849182,0.5978380441665649,0.5908797979354858,0.5817646384239197,0.6026684045791626,0.5920321345329285
25,"さて , この 出来事 は クシャン と い う 人 , クミン の アケリオン に あ る ア カイム に くい を 与え た もの で あ る .",本件は、トランプ大統領がトルコのレセップ・タイップ・エルドアン大統領と電話会談した後で発表されました。,発表は、トランプがトルコのレジェプ・ターイップ・エルドアン大統領と電話会談を行った後に行われました。,0.6159746646881104,0.6222840547561646,0.6191132664680481,0.6110865473747253,0.6132054328918457,0.6121441125869751
26,"わたし は また  先 に 戦 お う と し て い た 者 たち を 捕え , "" 諸 国民 は , 誘惑 に 陥 ろ う と し て い る "" と 言 わ れ た こと を 拒 ん だ .",トルコはまた、捉えられたISIS戦闘員の警備を引き継ぐことになり、声明によれば、欧州諸国は戦闘員の本国送還を拒否している。,トルコはまた、声明によれば、ヨーロッパ諸国が帰国を拒否した捕虜のISIS戦闘員の警備を引き受けることになります。,0.5981239676475525,0.657370924949646,0.6263495683670044,0.6125472784042358,0.6581579446792603,0.6345340013504028
