id,translated_chinese,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"他补充说:""现在我们有4个月的小鼠,它们不是糖尿病患者,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,0.8750888109207153,0.8108171820640564,0.8417279124259949,0.8421852588653564,0.7902772426605225,0.8154059648513794
1,"哈利法克斯大学医学教授,加拿大糖尿病协会临床和科学部门主席埃胡德·乌尔博士警告说,研究仍处于早期阶段.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,0.9114632606506348,0.8437421321868896,0.8762962222099304,0.9178646802902222,0.8277130722999573,0.8704608678817749
2,"他也怀疑糖尿病是否可以治愈,他指出这些发现对已经患有1型糖尿病的人没有任何意义.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,0.8558523654937744,0.7976070046424866,0.8257037997245789,0.884614109992981,0.7984614968299866,0.8393328189849854
3,"瑞典文学奖委员会常任秘书萨拉·丹尼乌斯周一在瑞典斯威尔德广播电台的一次电台节目中公开宣布,委员会无法直接联系布勃·迪伦获奖,2016年诺贝尔文学奖,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,0.8752328157424927,0.8142743706703186,0.8436537981033325,0.877739667892456,0.8169846534729004,0.8462731242179871
4,"丹尼斯说:""目前我们没有做任何事情.我已经打电话给他最亲密的合作伙伴,",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,0.7470921277999878,0.6658730506896973,0.7041482925415039,0.8093160390853882,0.708568811416626,0.7555989623069763
5,"之前,环球公司首席执行官Jamie Siminoff表示,公司成立时,",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,0.7641265392303467,0.641877293586731,0.6976872682571411,0.8213889598846436,0.6862139105796814,0.7477413415908813
6,他说他建造了一个WiFi门钟.,他称，他制作了一个 WiFi 门铃。,他说他做了一个WiFi门铃。,0.8822601437568665,0.8670188188552856,0.8745730519294739,0.8786830902099609,0.892391562461853,0.8854842782020569
7,"辛诺夫表示,他在2013年在""鱼坦克""一集中出现在之后,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,0.7517195343971252,0.6401534676551819,0.6914651989936829,0.7017608880996704,0.6035877466201782,0.648982584476471
8,"2017年底,Siminoff出现在购物电视频道QVC上.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,在2017年末，Siminoff出现在购物电视台QVC上。,0.8360599279403687,0.7816401720046997,0.8079347610473633,0.9265921115875244,0.9159080982208252,0.9212191104888916
9,环球公司还与竞争对手的安全公司ADT公司达成了诉讼.,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,Ring还与竞争对手安全公司ADT公司达成了和解。,0.8515835404396057,0.7803168296813965,0.8143940567970276,0.873894214630127,0.9091969728469849,0.891196072101593
10,"虽然有试验疫苗可以减少埃博拉死亡率,但到目前为止,",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,0.8971894979476929,0.7395772933959961,0.8107947707176208,0.9238846302032471,0.7659428715705872,0.8375326991081238
11,"一种抗体尾酒,ZMapp,最初在该领域有望,但正式研究表明它在预防死亡方面具有比寻求的更少的好处.",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,0.8222216963768005,0.782693088054657,0.8019706010818481,0.8671495914459229,0.8661109209060669,0.866629958152771
12,"在PALM试验中,ZMapp作为一个控制,这意味着科学家将其作为一个基线,并将其其他三种治疗方法与它进行了比较.",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,在PALM试验中，ZMapp被作为对照，意味着科学家将其作为基准，并将其他三种治疗与其进行比较。,0.8430113792419434,0.8784565925598145,0.860369086265564,0.8723671436309814,0.9126686453819275,0.8920629024505615
13,"美国体操运动会支持美国奥运会的信, 并接受奥运会家庭的绝对需要,",美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,美国体操协会支持美国奥林匹克委员会的信件，并接受奥林匹克大家庭在为我们的运动员提供安全环境方面的绝对必要性。,0.8376652002334595,0.7172261476516724,0.7727811932563782,0.8480174541473389,0.7328075170516968,0.7862142324447632
14,"我们同意美国体育委员会的声明, 通过在组织内部进行有意义的变化而不是退牌,",我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,我们同意美国奥林匹克委员会的声明，即我们的运动员、俱乐部和他们的运动的利益可能通过在我们组织内部推进有意义的变革，而不是取消认证，得到更好的服务。,0.8267886638641357,0.7189933061599731,0.7691324353218079,0.8905279040336609,0.7552429437637329,0.8173251152038574
15,"美国体操运动支持一个独立的调查, 能够揭示拉里·纳萨尔幸存者如何勇敢地滥用描述的比例,",根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,美国体操协会支持一项独立调查，以揭示拉里·纳萨尔的幸存者们所勇敢描述的虐待情况是如何能够长时间未被发现的，并且欢迎任何必要和适当的变革。,0.77146977186203,0.6559562087059021,0.7090390920639038,0.85676109790802,0.7518090605735779,0.8008612990379333
16,"美国体操运动和美国体育运动委员会都致力于使体操运动和其他运动员在安全,积极和赋权的环境中实现他们的梦想.",美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,美国体操协会和美国奥林匹克委员会有着相同的目标——让体操及其他运动尽可能安全，让运动员在一个安全、积极和充满力量的环境中追梦。,0.8683604001998901,0.8044136166572571,0.8351647257804871,0.8243242502212524,0.7865744829177856,0.8050071001052856
17,"在20世纪60年代,布雷兹辛斯基担任约翰·F·肯尼迪的顾问,然后是林登·B·约翰逊政府.",20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,在1960年代，布热津斯基为约翰·F·肯尼迪担任顾问，随后又为林登·约翰逊政府工作。,0.8735085725784302,0.8257489204406738,0.8489575386047363,0.8763664364814758,0.8775374889373779,0.8769515752792358
18,"在1976年选举期间,他就外交政策咨询了卡特,然后于1977年至1981年担任国家安全顾问 (NSA),继任亨利·基辛格.",在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,在1976年的选举中，他向卡特提供了外交政策的建议，随后在1977年至1981年期间担任国家安全顾问，接替亨利·基辛格。,0.896506667137146,0.861399233341217,0.8786023855209351,0.8857828378677368,0.881181001663208,0.8834758996963501
19,"作为美国国家安全局,他协助卡特外交上处理世界事务,如1978年坎普戴维协议;在1970年代末的美国与中国关系正常化;导致伊朗人质危机的伊朗革命,1979年;以及苏联入侵阿富汗,1979年.",身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,作为国家安全顾问，他协助卡特在外交上处理世界事务，例如1978年的戴维营协议；在1970年代末期正常化美中关系；伊朗革命，这导致了1979年的伊朗人质危机；以及1979年苏联入侵阿富汗。,0.8565417528152466,0.8615599274635315,0.8590434789657593,0.8871520757675171,0.8904778361320496,0.8888118267059326
20,"这部电影,由Ryan Gosling和Emma Stone饰演,在所有主要类别中获得了提名.",这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,这部电影，由瑞恩·高斯林和艾玛·史东主演，获得了所有主要类别的提名。,0.768113911151886,0.6815130114555359,0.7222266793251038,0.8581316471099854,0.7889690399169922,0.8220983147621155
21,戈斯林和石头分别获得最佳男演员和女演员提名.,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,戈斯林和斯通分别获得了最佳男演员和最佳女演员的提名。,0.8768776655197144,0.8683357238769531,0.8725857734680176,0.930639922618866,0.9135357737541199,0.9220085740089417
22,"其他提名包括最佳电影,导演,电影,服装设计,电影编辑,原创乐谱,制作设计,声音编辑,声音混合和原创剧本.",其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳剪辑、最佳原创音乐、最佳美术设计、最佳音效剪辑、最佳音效混音和最佳原创剧本。,0.8605348467826843,0.8435578346252441,0.8519617319107056,0.8542301058769226,0.8466254472732544,0.8504108190536499
