id,translated_spainish,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos"", agregó.","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.","""Ahora tenemos ratones de 4 meses que son no diabéticos y que solían ser diabéticos,"" agregó.",0.9173214435577393,0.8771177530288696,0.8967692255973816,0.9643206596374512,0.9576538801193237,0.960975706577301
1,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes advirtió que la investigación todavía está en sus primeros días.","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.","El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas.",0.9005749821662903,0.8862647414207458,0.8933625817298889,0.9878033399581909,0.9780839085578918,0.9829195737838745
2,"Al igual que otros expertos, es escéptico acerca de si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.","Como algunos otros expertos, es escéptico sobre si la diabetes se puede curar, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.",0.926237940788269,0.9283920526504517,0.9273137450218201,0.9674973487854004,0.9774086475372314,0.9724277257919312
3,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia, el comité, incapaz de llegar a Bob Dylan directamente sobre ganar el Premio Nobel de Literatura 2016, había abandonado sus esfuerzos para llegar a él.","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.","El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de comunicarse directamente con Bob Dylan sobre su premiación con el Nobel de Literatura en 2016, había abandonado sus esfuerzos para contactarlo.",0.8940930962562561,0.8816750645637512,0.8878406286239624,0.9437161087989807,0.9312926530838013,0.9374631643295288
4,"Danio dijo, ""Ahora mismo no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibido respuestas muy amistosas. Por ahora, eso es sin duda suficiente.""","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».","Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, eso es ciertamente suficiente.""",0.891615629196167,0.8799594640731812,0.8857491612434387,0.949063777923584,0.9507936239242554,0.9499279260635376
5,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.","Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta no era audible desde su taller en el garaje.",0.9099529981613159,0.8614339232444763,0.8850290179252625,0.978381872177124,0.9633575081825256,0.9708116054534912
6,"Él construyó una campana de la puerta WiFi, dijo.",Él dijo que construyó un timbre wifi.,"Él construyó un timbre de puerta WiFi, dijo.",0.7730401754379272,0.8120170831680298,0.7920494079589844,0.9132125973701477,0.9332648515701294,0.9231298565864563
7,"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del show declinó financiar la startup.","Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.","Siminoff dijo que las ventas aumentaron después de su aparición en un episodio de Shark Tank en 2013, donde el panel del programa rechazó financiar la startup.",0.9287103414535522,0.8932198286056519,0.9106194376945496,0.9764800667762756,0.9764800667762756,0.9764800667762756
8,"A finales de 2017, Siminoff apareció en el canal de televisión QVC.","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.","A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.",0.9280678033828735,0.8818216323852539,0.9043538570404053,0.9820905923843384,0.9538273811340332,0.9677526354789734
9,"Ring también resolvió una demanda con la compañía de seguridad competidora, la Corporación ADT.","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.","Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation.",0.8651541471481323,0.8712760210037231,0.8682042956352234,0.9597436189651489,0.9752002954483032,0.9674102067947388
