id,translated_russian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""У нас есть 4-месячные мыши, которые не диабетичны, которые раньше были диабетиками"", добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",0.8565757274627686,0.8564014434814453,0.8564885258674622,0.9047504663467407,0.8912034034729004,0.8979257941246033
1,"Доктор Эхуд Ур, профессор медицины Далхаузийского университета в Галифаксе, Новая Шотландия, и председатель клинического и научного отделения Канадской ассоциации диабета предупредили, что исследования все еще проводятся в первые дни.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",0.8608294129371643,0.8468133807182312,0.8537638783454895,0.9359622001647949,0.929405689239502,0.9326724410057068
2,"Как и некоторые другие эксперты, он скептически относится к вопросу о том, можно ли вылечить диабет, отмечая, что эти выводы не имеют никакого отношения к людям, уже страдающим диабетом первого типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",0.8415027856826782,0.8825269937515259,0.8615267872810364,0.924272894859314,0.9524130821228027,0.9381320476531982
3,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе Шведской академии, публично объявила во время радиопередачи на радио Sveriges Radio в Швеции о том, что комитет, не имея возможности напрямую связаться с Бобом Диланом по поводу получения Нобелевской премии 2016 года в области литературы, отказался от своих усилий, направленных на то, чтобы связаться с ним.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",0.8779871463775635,0.8881392478942871,0.8830339908599854,0.9164157509803772,0.9295859336853027,0.9229538440704346
4,"Даниус сказал: ""Теперь мы ничего не делаем. Я позвонил и отправил письма его близкому коллеге и получил очень дружеские ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",0.8913804888725281,0.8347302079200745,0.8621257543563843,0.8994505405426025,0.8317915201187134,0.864298939704895
5,"Ранее генеральный директор ""Ринга"", Джейми Симинофф, заметил, что компания началась, когда его дверной звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",0.8804402351379395,0.900561511516571,0.8903871774673462,0.9569843411445618,0.9734609127044678,0.965152382850647
6,"Он сказал, что построил колокол WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построил дверной звонок с WiFi, сказал он.",0.9169096946716309,0.8530269861221313,0.8838154673576355,0.868442177772522,0.8401695489883423,0.8540719747543335
7,"Siminoff сказал, что продажи возросли после того, как он появился в 2013 году в эпизоде Shark Tank, где шоу-группа отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",0.9016574025154114,0.885078489780426,0.8932910561561584,0.9105739593505859,0.8764667510986328,0.893194854259491
8,В конце 2017 года Симинофф появился на телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,0.9878122806549072,0.9534138441085815,0.9703083038330078,0.9691638946533203,0.904373049736023,0.9356481432914734
9,"""Кольцо"" также урегулировало иск с конкурирующими охранными компаниями ""ADT Corporation"".","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,0.813623309135437,0.8333909511566162,0.8233885169029236,0.8815425634384155,0.9416154623031616,0.910589337348938
