id,translated_france,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",0.9495874643325806,0.8998159766197205,0.9240320324897766,1.0,1.0,1.0
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a mis en garde contre le fait que la recherche en est encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",0.9626600742340088,0.9813817739486694,0.9719308018684387,0.9587981700897217,0.9745005369186401,0.966585636138916
2,"Comme d'autres experts, il est sceptique quant à savoir si le diabète peut être guéri, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",0.891895592212677,0.8853767514228821,0.8886241912841797,0.9483828544616699,0.9490882158279419,0.9487354159355164
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement, lors d'une émission de radio sur Sveriges Radio en Suède, que le comité, incapable de joindre directement Bob Dylan à propos de la victoire du Prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",0.9171144366264343,0.9075326323509216,0.9122983813285828,0.945205807685852,0.9510674476623535,0.9481275677680969
4,"Danius a dit, ""En ce moment nous ne faisons rien. J'ai appelé et envoyé des emails à son plus proche collaborateur et a reçu des réponses très amicales. Pour l'instant, cela suffit certainement.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",0.9524780511856079,0.9400162696838379,0.9462060928344727,0.9509676694869995,0.9359393119812012,0.9433936476707458
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a remarqué que l'entreprise avait commencé quand sa sonnette n'était pas audible de sa boutique dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",0.9460674524307251,0.917336642742157,0.9314805865287781,0.954338550567627,0.9776668548583984,0.9658618569374084
6,"Il a construit une cloche de porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,Il a dit qu'il avait construit une sonnette WiFi.,0.7821487188339233,0.8699184656143188,0.8237020969390869,0.7939337491989136,0.8684428930282593,0.8295185565948486
7,Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel du spectacle a refusé de financer la startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,0.9646862745285034,0.9422749876976013,0.9533489346504211,0.9757816791534424,0.9667032957077026,0.9712212681770325
8,"Fin 2017, Siminoff est apparu sur la chaîne de télévision d'achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",0.97076815366745,0.96261066198349,0.9666721820831299,0.9450126886367798,0.9748393297195435,0.9596943259239197
9,"Ring a également réglé un procès avec une société de sécurité concurrente, ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",0.9901732206344604,0.9709798097610474,0.9804825782775879,0.9905623197555542,0.9905623197555542,0.9905623197555542
10,"Bien qu'un vaccin expérimental semble capable de réduire la mortalité par Ebola, jusqu'à présent, aucun médicament n'a été clairement démontré pour traiter l'infection existante.","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.","Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",0.9014497399330139,0.8944886922836304,0.8979556560516357,0.9603300094604492,0.9377496242523193,0.9489055275917053
11,"Un cocktail d'anticorps, ZMapp, s'est montré initialement prometteur sur le terrain, mais des études formelles ont indiqué qu'il avait moins d'avantages que recherché pour prévenir la mort.","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.","Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",0.8450847864151001,0.8371347188949585,0.8410909175872803,0.9069880247116089,0.9163573980331421,0.9116486310958862
12,"Dans l'essai PALM, ZMapp a servi de témoin, c'est-à-dire que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à lui.","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.","Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",0.9033522605895996,0.9333633184432983,0.918112576007843,0.9218342304229736,0.9476175308227539,0.9345480799674988
13,USA Gymnastique soutient la lettre du Comité olympique des États-Unis et accepte le besoin absolu de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,0.942973792552948,0.9406219720840454,0.9417964220046997,0.9354252815246582,0.9342666864395142,0.9348456263542175
14,"Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, et de leur sport, pourraient être mieux servis par des changements significatifs au sein de notre organisation, plutôt que par une décertification.","Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.","Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",0.9276796579360962,0.837304413318634,0.8801782131195068,0.9683284759521484,0.9287470579147339,0.9481248259544373
15,USA Gymnastics soutient une enquête indépendante qui pourrait éclairer sur la façon dont l'abus de la proportion décrite si courageusement par les survivants de Larry Nassar aurait pu passer inaperçu pendant si longtemps et embrasser tout changement nécessaire et approprié.,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,La gymnastique américaine soutient une enquête indépendante qui pourrait éclairer comment les abus de la proportion décrite si courageusement par les survivants de Larry Nassar ont pu rester non détectés pendant si longtemps et adopte tous les changements nécessaires et appropriés.,0.9538712501525879,0.9609702229499817,0.9574076533317566,0.8965613842010498,0.9023908376693726,0.8994666337966919
16,"La gymnastique américaine et l'USOC ont le même objectif: rendre le sport de la gymnastique, et d'autres, aussi sûr que possible pour les athlètes de suivre leurs rêves dans un environnement sûr, positif et autonomisé.","USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.","La Fédération américaine de gymnastique et le Comité olympique et paralympique des États-Unis ont le même objectif : rendre le sport de la gymnastique, ainsi que d'autres sports, aussi sûr que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et épanouissant.",0.9142476320266724,0.9033766984939575,0.9087796807289124,0.9183424711227417,0.8700485229492188,0.8935434222221375
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy comme son conseiller, puis l'administration de Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",0.9732265472412109,0.9626926183700562,0.9679309129714966,0.9732265472412109,0.9626926183700562,0.9679309129714966
18,"Au cours des sélections de 1976, il conseille Carter sur la politique étrangère, puis occupe le poste de conseiller en sécurité nationale (CNS) de 1977 à 1981, succédant à Henry Kissinger.","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",0.9290438294410706,0.9320882558822632,0.9305635094642639,0.9290438294410706,0.9320882558822632,0.9305635094642639
19,"En tant que NSA, il assiste Carter dans la gestion diplomatique des affaires mondiales, comme les accords Camp David de 1978; la normalisation des relations entre les États-Unis et la Chine pense à la fin des années 70; la révolution iranienne, qui a mené à la crise des otages en Iran, 1979; et l'invasion soviétique en Afghanistan, 1979.","Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.","En tant que conseiller à la sécurité nationale, il a aidé Carter à gérer diplomatiquement les affaires mondiales, telles que les Accords de Camp David en 1978 ; la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970 ; la Révolution iranienne, qui a conduit à la crise des otages en Iran en 1979 ; et l'invasion soviétique en Afghanistan en 1979.",0.8852313756942749,0.8703199625015259,0.8777123689651489,0.936038613319397,0.9233523607254028,0.929652214050293
20,"Le film, mettant en vedette Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.","Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.","Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.",0.9374265670776367,0.9771743416786194,0.9568879008293152,0.9374265670776367,0.9771744012832642,0.9568878412246704
21,Gosling et Stone ont reçu des nominations pour le meilleur acteur et l'actrice respectivement.,Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.,Gosling et Stone ont reçu des nominations pour le meilleur acteur et la meilleure actrice respectivement.,0.8858120441436768,0.8840768933296204,0.8849436044692993,0.9763790369033813,0.9829952716827393,0.9796760082244873
22,"Les autres nominations comprennent la meilleure image, le réalisateur, la cinématographie, la conception de costumes, l'édition de films, la partition originale, la conception de production, l'édition sonore, le mixage sonore et le scénario original.","Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.","Les autres nominations incluent Meilleur Film, Meilleur Réalisateur, Meilleure Photographie, Meilleure Conception de Costumes, Meilleur Montage, Meilleure Musique Originale, Meilleure Direction Artistique, Meilleur Montage Sonore, Meilleur Mixage Sonore et Meilleur Scénario Original.",0.8339526653289795,0.8437674045562744,0.83883136510849,0.806289792060852,0.8042072057723999,0.8052471876144409
23,"Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont reçu des nominations pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que n'importe quel autre studio.","Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.","Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont reçu des nominations pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations, plus que tout autre studio.",0.9557415843009949,0.9705277681350708,0.963077962398529,0.9632174968719482,0.9795874953269958,0.9713335037231445
24,"À la fin de dimanche, le président américain Donald Trump, dans une déclaration prononcée par l'intermédiaire du secrétaire à la presse, a annoncé que les troupes américaines quitteraient la Syrie.","Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.","Tard dimanche, le président américain Donald Trump, dans une déclaration faite par l'intermédiaire de la porte-parole, a annoncé que les troupes américaines quitteraient la Syrie.",0.9301248788833618,0.9280802011489868,0.9291014075279236,0.9270931482315063,0.948267936706543,0.9375609755516052
25,L'annonce a été faite après que Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,L'annonce a été faite après que Trump a eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,0.9770186543464661,0.9559865593910217,0.9663881659507751,0.9959166049957275,0.9959166049957275,0.9959166049957275
26,"La Turquie prendrait également le contrôle des combattants de l'Etat islamique capturés qui, selon la déclaration, ont refusé de rapatrier les nations européennes.","La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.","La Turquie prendrait également la responsabilité de garder les combattants de l'ISIS capturés, ce que, selon le communiqué, les nations européennes ont refusé de rapatrier.",0.8975440859794617,0.9027628302574158,0.9001458883285522,0.8912457823753357,0.8743498921394348,0.882716953754425
27,"Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà répandue, mais fournit des détails fossiles généralement ne peuvent pas, comme la couleur et l'arrangement tridimensionnel.","Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.","Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà répandue, mais fournit des détails que les fossiles ne peuvent généralement pas offrir, tels que la couleur et l'arrangement tridimensionnel.",0.9600982069969177,0.9471759796142578,0.9535933136940002,0.9672566652297974,0.9434486031532288,0.9552042484283447
28,. Les scientifiques disent que le plumage de cet animal était brun châtaignier sur le dessus avec un dessous pâle ou caroténoïde.,Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.,Les scientifiques disent que le plumage de cet animal était brun châtaignier sur le dessus avec un dessous pâle ou de couleur caroténoïde.,0.9217501878738403,0.9317477941513062,0.92672199010849,0.9749985933303833,0.9678945541381836,0.9714335799217224
29,La découverte donne également un aperçu de l'évolution des plumes chez les oiseaux.,Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.,La découverte offre également un aperçu de l'évolution des plumes chez les oiseaux.,0.9091488122940063,0.9261609315872192,0.917576014995575,0.99198317527771,0.99198317527771,0.99198317527771
30,"Parce que les plumes de dinosaure n'ont pas un arbre bien développé, appelé un rachis, mais ont d'autres caractéristiques de plumes — des barbes et des barbules — les chercheurs ont déduit que le rachis était probablement un développement évolutif ultérieur que ces autres caractéristiques.","Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.","Parce que les plumes de dinosaure n'ont pas de tige bien développée, appelée rachis, mais possèdent d'autres caractéristiques des plumes – des barbes et des barbules – les chercheurs ont déduit que le rachis était probablement un développement évolutif ultérieur par rapport à ces autres caractéristiques.",0.9282180070877075,0.9094694256782532,0.9187480211257935,0.9660648703575134,0.9617617130279541,0.9639084339141846
