id,translated_france,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques"", a- t- il ajouté.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",0.9438194036483765,0.8942497968673706,0.9183661937713623,0.9932122826576233,0.9932122826576233,0.9932122826576233
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche est encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",0.9820894002914429,0.9803245067596436,0.9812061190605164,0.9962429404258728,0.9912543296813965,0.9937423467636108
2,"Comme certains autres experts, il est sceptique quant à savoir si le diabète peut être guéri, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",0.8867436647415161,0.8757673501968384,0.881221354007721,0.953583836555481,0.9516842365264893,0.9526330828666687
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature de l'Académie suédoise, a annoncé publiquement lors d'un programme de radio sur Sveriges Radio en Suède que le comité, incapable de contacter directement Bob Dylan sur le prix Nobel de littérature 2016, avait abandonné ses efforts pour le rejoindre.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",0.92425137758255,0.9030786752700806,0.9135423898696899,0.9587680101394653,0.9477658271789551,0.9532351493835449
4,"Danius a déclaré: ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales.","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",0.9439232349395752,0.8798989057540894,0.9107873439788818,0.9600564241409302,0.8911275863647461,0.924308717250824
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé quand sa sonnette de porte n'était pas audible depuis son magasin dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",0.9575519561767578,0.9270390272140503,0.9420484900474548,0.9673779010772705,0.9859577417373657,0.9765794277191162
6,"Il a construit une cloche de porte Wi-Fi, dit-il.",Il dit avoir conçu une sonnette de porte Wi-Fi.,Il a dit qu'il avait construit une sonnette WiFi.,0.8449294567108154,0.8949164748191833,0.8692048788070679,0.8099340796470642,0.846429705619812,0.8277798295021057
7,Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de l'émission a refusé de financer la startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,0.9626004099845886,0.9469338655471802,0.9547029137611389,0.9888064861297607,0.9888064861297607,0.9888064861297607
8,"Fin 2017, Siminoff est apparu sur la chaîne de télévision de shopping QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",0.9630582928657532,0.9310089349746704,0.9467624425888062,0.9885039925575256,0.991283118724823,0.9898915886878967
9,"Ring a également réglé une action en justice avec une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",0.9533754587173462,0.9643183946609497,0.9588156938552856,0.9416949152946472,0.9636306762695312,0.9525364637374878
