id,translated_portu,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"“Agora temos camundongos de 4 meses que não são diabéticos que costumavam ser diabéticos”, acrescentou.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""Agora temos camundongos de 4 meses que são não diabéticos, mas que costumavam ser diabéticos"", acrescentou ele.",0.8337221145629883,0.8438619375228882,0.8387613892555237,0.9013760685920715,0.881270706653595,0.8912100195884705
1,"Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia e presidente da divisão clínica e científica da Associação Canadense de Diabetes advertiu que a pesquisa ainda está em seus primeiros dias.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está em seus estágios iniciais.",0.9258257746696472,0.9191039800643921,0.9224526882171631,0.9732656478881836,0.9566394090652466,0.9648808836936951
2,"Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que essas descobertas não têm relevância para pessoas que já têm diabetes tipo 1.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como alguns outros especialistas, ele é cético quanto à possibilidade de cura do diabetes, observando que esses achados não têm relevância para pessoas que já possuem diabetes tipo 1.",0.9454734325408936,0.962141752243042,0.9537347555160522,0.9435797929763794,0.9494989514350891,0.9465301036834717
3,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges, na Suécia, que o comitê, incapaz de alcançar Bob Dylan diretamente sobre ganhar o Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio, na Suécia, que o comitê, incapaz de contatar Bob Dylan diretamente sobre a vitória do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.",0.9498773217201233,0.9584441184997559,0.9541414976119995,0.9808168411254883,0.9787606000900269,0.9797876477241516
4,"Danius disse: ""Neste momento, não estamos fazendo nada. Liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso certamente é suficiente.""","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius disse: ""Neste momento, não estamos fazendo nada. Eu liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso é certamente suficiente.""",0.9233689308166504,0.9133305549621582,0.9183223247528076,0.9871577620506287,0.9814175963401794,0.9842793345451355
5,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando sua campainha não era audível de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando o seu campainha não era audível a partir de sua loja na garagem.",0.972391664981842,0.9733035564422607,0.9728474617004395,0.9690346717834473,0.956993579864502,0.9629764556884766
6,"Ele construiu um sino de porta WiFi, disse ele.","Ele montou uma campainha sem fio, disse.","Ele construiu um campainha de WiFi, disse ele.",0.8009283542633057,0.8004484176635742,0.8006883263587952,0.9451467394828796,0.927466094493866,0.9362229704856873
7,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do show recusou financiar a startup.","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.","Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do programa recusou o financiamento da startup.",0.951764702796936,0.9427512884140015,0.9472365975379944,0.9826100468635559,0.9754194617271423,0.979001522064209
8,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.",0.922598123550415,0.9075279831886292,0.9150010347366333,0.9999998807907104,0.9999998807907104,0.9999998807907104
9,"Ring também resolveu um processo com a empresa de segurança concorrente, a ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.","A Ring também resolveu uma ação judicial com a empresa de segurança concorrente, a ADT Corporation.",0.929223895072937,0.9195346832275391,0.9243538975715637,0.9675106406211853,0.9509440064430237,0.9591557383537292
10,"Enquanto uma vacina experimental parece capaz de reduzir a mortalidade por Ebola, até agora, nenhuma droga foi claramente demonstrada adequada para o tratamento da infecção existente.","Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Enquanto uma vacina experimental parece capaz de reduzir a mortalidade por Ebola, até agora, nenhum medicamento foi claramente demonstrado como adequado para tratar infecções existentes.",0.9404832720756531,0.9344377517700195,0.9374507665634155,0.96157306432724,0.9533021450042725,0.9574196934700012
11,"Um coquetel de anticorpos, o ZMapp, inicialmente mostrou-se promissor no campo, mas estudos formais indicaram que ele tinha menos benefício do que o procurado na prevenção da morte.","Um coquetel de anticorpos, ZMapp, inicialmente se mostrou promissor na área, mas estudos formais indicaram que ele tinha menos benefícios do que buscado na prevenção da morte.","Um coquetel de anticorpos, ZMapp, inicialmente mostrou promise no campo, mas estudos formais indicaram que teve menos benefício do que se buscava na prevenção da morte.",0.9661293625831604,0.9770220518112183,0.9715451002120972,0.9177097082138062,0.9477463960647583,0.9324862360954285
12,"No teste PALM, o ZMapp serviu como controle, o que significa que os cientistas o usaram como linha de base e compararam os três outros tratamentos com ele.","ZMapp foi usado como controle, isso quer dizer que os cientistas o usaram como linha de base e o compararam os três outros tratamentos no estudo PALM.","No ensaio PALM, o ZMapp serviu como controle, o que significa que os cientistas o usaram como uma linha de base e compararam os outros três tratamentos a ele.",0.9096224308013916,0.9232335090637207,0.9163774251937866,0.9770506024360657,0.9685660004615784,0.9727898240089417
13,A USA Gymnastics apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,A equipe de ginástica norte-americana apoia a carta do Comitê Olímpico dos Estados Unidos e concorda com a necessidade absoluta de que a família olímpica promova um ambiente seguro para todos os nossos atletas.,A Ginástica dos EUA apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,0.9145752191543579,0.8815761804580688,0.8977725505828857,0.9612094163894653,0.9649559855461121,0.9630790948867798
14,"Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e seu esporte, podem ser melhor servidos ao avançar com mudanças significativas dentro de nossa organização, em vez de decertificação.","Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e seus esportes, podem ser melhor servidos ao avançarmos com mudanças significativas dentro de nossa organização, ao invés da descertificação.","Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e de seu esporte, podem ser melhor atendidos avançando com mudanças significativas dentro de nossa organização, em vez da descredenciação.",0.9770236611366272,0.964838981628418,0.970893144607544,0.9549127817153931,0.9478586912155151,0.9513726830482483
15,A Ginástica dos EUA apoia uma investigação independente que pode esclarecer como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter ficado despercebido por tanto tempo e abraça quaisquer mudanças necessárias e apropriadas.,"A equipe de ginástica norte-americana apoia uma investigação independente que possa esclarecer como um abuso da proporção que foi relatada tão corajosamente pelo sobrevivente, Larry Nassar, pôde acontecer sem que ninguém notasse, e defende qualquer mudança que for necessária e apropriada.",A USA Gymnastics apoia uma investigação independente que pode esclarecer como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter permanecido indetectado por tanto tempo e acolhe quaisquer mudanças necessárias e apropriadas.,0.8482837677001953,0.8235446214675903,0.8357311487197876,0.950289249420166,0.9464675188064575,0.9483745694160461
