language,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
ar,0.8690182812965047,0.8538651519853357,0.8612051304292346,0.8912241485634687,0.8804605960370536,0.8856802497166817
de,0.8902149082298773,0.8741716369096026,0.881817091330589,0.9152338221016159,0.899570276062802,0.9070196164200506
es,0.8851359292074248,0.8667714286733557,0.8756588934897421,0.9529597534312381,0.9427482008456707,0.9476210038225215
fr,0.9190868058366451,0.9018253644188483,0.9100539503459207,0.9437591224135515,0.9299273003718096,0.9365004251103202
hi,0.8760980501267356,0.8650765395899179,0.8703620429659933,0.8995373487828029,0.8920534073595499,0.8956077197792516
it,0.8827824533282228,0.865383901702824,0.8737551352277917,0.9359201388572579,0.9248697573865824,0.930133214756031
jap,0.829226108072521,0.8079933113270588,0.8181856251382208,0.8500916196868851,0.8237633915928813,0.8364239615219814
ko,0.8491438504457474,0.8422445802688598,0.84542943328619,0.8784479326009751,0.8688393290042877,0.873403949469328
pt,0.9228165213211599,0.9127924512344527,0.9175608752970676,0.9463365468608431,0.9365581888482866,0.9412094067886057
ru,0.8751967396445854,0.8580182222073187,0.8661975616704443,0.9077527085226215,0.8917052207473747,0.8993203464501395
zh,0.8389969239282847,0.7776923036455509,0.8059420964226651,0.8607370110911939,0.797492965681469,0.8266510922106067
