id,translated_german,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Wir haben nun 4 Monate alte Mäuse, die nicht diabetisch sind, die früher Diabetiker waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",0.8569637537002563,0.852663516998291,0.8548082709312439,0.9162737131118774,0.9082441329956055,0.9122412800788879
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",0.8857979774475098,0.7582828998565674,0.8170953989028931,0.917711615562439,0.8165296316146851,0.8641690015792847
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, wobei er feststellt, dass diese Erkenntnisse für Menschen, die bereits","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.","Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",0.8492446541786194,0.7887817621231079,0.8178972601890564,0.8867338299751282,0.824629545211792,0.8545548915863037
3,"Am Montag kündigte Sara Danius, ständige Sekretärin des Nobelkomitees für Literatur an der schwedischen Akademie","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.","Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",0.8107993602752686,0.6579945087432861,0.7264484167098999,0.8510975241661072,0.6928451061248779,0.7638609409332275
4,"Danius sagte: ""Heute tun wir nichts, ich habe an seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,0.8930157423019409,0.828205943107605,0.8593906760215759,0.919492244720459,0.8574362993240356,0.8873806595802307
5,"Zuvor bemerkte Rings CEO, Jamie Siminoff, dass das Unternehmen begann, als sein Türbel aus seinem Laden in seiner Garage nicht hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.","Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",0.8418624997138977,0.8477500081062317,0.8447960019111633,0.9095450043678284,0.893986701965332,0.9016987681388855
6,"He built a WiFi door bell, he said.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.","Er hat eine WLAN-Türklingel gebaut, sagte er.",0.7873449325561523,0.7550621628761292,0.7708656787872314,0.8190997838973999,0.7923414707183838,0.805498480796814
7,"Siminoff sagte, dass der Umsatz nach seinem Auftritt 2013 in einer Shark Tank-Episode gesteigert wurde, in der die Show-Panel die Finanzierung","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.","Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",0.8176528215408325,0.7810276746749878,0.7989206910133362,0.8608344793319702,0.8209002017974854,0.8403931856155396
8,Ende 2017 erschien Siminoff auf dem Einkaufs-TV-Sender QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,0.8789159059524536,0.8730685710906982,0.8759824633598328,0.8737754821777344,0.8672782182693481,0.8705146908760071
9,"Ring hat auch einen Prozess mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, abgeschlossen.",Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",0.8881061673164368,0.8776410818099976,0.8828425407409668,0.9602748155593872,0.9399902820587158,0.9500242471694946
10,"Obwohl ein Versuchsimpfstoff in der Lage zu sein scheint, die Ebolasterblichkeit zu verringern, wurden bisher keine Medikamente eindeutig für die Behandlung bestehender In","Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.","Während ein experimenteller Impfstoff anscheinend in der Lage ist, die Ebola-Mortalität zu verringern, wurde bislang kein Medikament als eindeutig geeignet zur Behandlung einer bestehenden Infektion nachgewiesen.",0.8597156405448914,0.8269693851470947,0.8430246114730835,0.8497506380081177,0.8212229013442993,0.8352432250976562
