id,translated_spainish,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Ahora tenemos ratones de 4 meses de edad que no tienen diabetes y que antes tenían diabetes"", añadió.","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.","""Ahora tenemos ratones de 4 meses que son no diabéticos y que solían ser diabéticos,"" agregó.",0.9030407071113586,0.8670002222061157,0.8846535682678223,0.8933680057525635,0.8740609288215637,0.8836089968681335
1,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie de Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación todavía está en sus primeros días.","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.","El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas.",0.8987897634506226,0.8886398673057556,0.8936859965324402,0.9892090559005737,0.9840875864028931,0.9866417050361633
2,"Al igual que algunos otros expertos, es escéptico sobre si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.","Como algunos otros expertos, es escéptico sobre si la diabetes se puede curar, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.",0.9187331199645996,0.9184404611587524,0.918586790561676,0.9762516021728516,0.9848912954330444,0.9805524349212646
3,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura de la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de contactar directamente a Bob Dylan sobre la obtención del Premio Nobel de Literatura de 2016, había abandonado sus esfuerzos para llegar a él.","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.","El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de comunicarse directamente con Bob Dylan sobre su premiación con el Nobel de Literatura en 2016, había abandonado sus esfuerzos para contactarlo.",0.9020987749099731,0.9030178189277649,0.9025580286979675,0.9623465538024902,0.9644986391067505,0.9634214043617249
4,"Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibí respuestas muy amistosas.","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».","Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, eso es ciertamente suficiente.""",0.8792403936386108,0.8356786370277405,0.8569062352180481,0.9261356592178345,0.8886699676513672,0.9070160388946533
5,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.","Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta no era audible desde su taller en el garaje.",0.9099529385566711,0.8614338636398315,0.8850288987159729,0.9783819317817688,0.9633575677871704,0.9708116054534912
6,Dijo que construyó una campana de puerta Wi-Fi.,Él dijo que construyó un timbre wifi.,"Él construyó un timbre de puerta WiFi, dijo.",0.8007196187973022,0.8360217809677124,0.8179900050163269,0.8359549641609192,0.8371973037719727,0.8365757465362549
7,Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank donde el panel del programa rechazó financiar la startup.,"Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.","Siminoff dijo que las ventas aumentaron después de su aparición en un episodio de Shark Tank en 2013, donde el panel del programa rechazó financiar la startup.",0.9295005202293396,0.8878352642059326,0.9081902503967285,0.9891155958175659,0.9837485551834106,0.9864248037338257
8,"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.","A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.",0.9469698667526245,0.9206467866897583,0.9336227774620056,1.0,1.0,1.0
9,"Ring también resolvió una demanda con la compañía de seguridad competidora, la ADT Corporation.","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.","Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation.",0.8858214020729065,0.885333776473999,0.8855775594711304,0.9850955009460449,0.9923285245895386,0.9886987805366516
