id,translated_chinese,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"他补充说:「现在有四个月大的老鼠, 这些老鼠是非糖尿病的,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,0.8564354181289673,0.7929659485816956,0.8234794735908508,0.825930118560791,0.7733408212661743,0.7987707853317261
1,"加拿大糖尿病协会临床和科学系主席、新斯科舍省哈利法克斯Dalhousie大学医学教授Ehud Ur博士告诫说,这项研究仍处于初期。",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,0.8741504549980164,0.8242183923721313,0.8484504222869873,0.8678673505783081,0.8023959398269653,0.8338484168052673
2,"与其他专家一样,他对糖尿病是否可以治愈持怀疑态度,指出这些调查结果与已经患有1型糖尿病的人无关。",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,0.9311877489089966,0.9415286779403687,0.9363296627998352,0.9362615346908569,0.9280378818511963,0.9321315884590149
3,"瑞典科学院诺贝尔文学委员会常任秘书Sara Danius在瑞典斯韦里盖斯电台的一个广播节目中公开宣布, 无法直接联系鲍勃·迪伦,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,0.8498384356498718,0.7626054286956787,0.8038622140884399,0.8752912878990173,0.7777868509292603,0.8236635327339172
4,"达尼乌斯说:现在,我们什么都不做,我已打电话和发电子邮件给他最亲密的合作者,我收到了非常友好的答复。现在,这已足够了。",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,0.8203496336936951,0.7838091850280762,0.8016632199287415,0.9019305109977722,0.8946945667266846,0.8982979655265808
5,"之前,Ring的首席执行官Jamie Siminoff, 说公司开始于他的门铃 在他的车库的店里听不见时。",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,0.7318495512008667,0.6836484670639038,0.7069283127784729,0.8972972631454468,0.8789438605308533,0.8880257606506348
6,"他说,他建造了一个无线网门铃。",他称，他制作了一个 WiFi 门铃。,他说他做了一个WiFi门铃。,0.8473150730133057,0.8906295299530029,0.8684325218200684,0.8106887340545654,0.8822370767593384,0.8449509739875793
7,"Siminoff说, 2013年他出现在鲨鱼坦克节目中, 展台拒绝资助启动活动,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,0.7318484783172607,0.6679912805557251,0.6984633803367615,0.7508098483085632,0.6720377206802368,0.7092432975769043
8,"2017年底,Siminoff出现在购物电视频道QVC上。",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,在2017年末，Siminoff出现在购物电视台QVC上。,0.8467170000076294,0.7969788908958435,0.8210954666137695,0.9375293254852295,0.9266683459281921,0.9320671558380127
9,Ring还解决了与相互竞争的安保公司ADT公司的一项诉讼。,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,Ring还与竞争对手安全公司ADT公司达成了和解。,0.8078272342681885,0.751117467880249,0.7784408926963806,0.7997046709060669,0.8395458459854126,0.8191410899162292
