id,translated_portu,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Agora temos ratos de 4 meses de idade que não são diabéticos e que costumavam ser diabéticos"", acrescentou.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""Agora temos camundongos de 4 meses que são não diabéticos, mas que costumavam ser diabéticos"", acrescentou ele.",0.9388226866722107,0.9543688297271729,0.9465318918228149,0.9316818714141846,0.9241481423377991,0.9278997182846069
1,"O Dr. Ehud Ur, professor de medicina da Universidade Dalhousie, em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está nos primeiros dias.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está em seus estágios iniciais.",0.9205678105354309,0.9216470718383789,0.9211071729660034,0.9819255471229553,0.9745861291885376,0.978242039680481
2,"Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que essas descobertas não têm relevância para pessoas que já têm diabetes tipo 1.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como alguns outros especialistas, ele é cético quanto à possibilidade de cura do diabetes, observando que esses achados não têm relevância para pessoas que já possuem diabetes tipo 1.",0.9454734325408936,0.962141752243042,0.9537347555160522,0.9435797929763794,0.9494989514350891,0.9465301036834717
3,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio na Suécia que o comitê, incapaz de contactar Bob Dylan diretamente sobre a vencedora do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio, na Suécia, que o comitê, incapaz de contatar Bob Dylan diretamente sobre a vitória do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.",0.9615663290023804,0.9687435626983643,0.9651415944099426,0.9832050800323486,0.9817057847976685,0.9824548959732056
4,"Danius disse: ""No momento não estamos fazendo nada. Liguei e enviei e-mails ao seu colaborador mais próximo e recebi respostas muito amigáveis.","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius disse: ""Neste momento, não estamos fazendo nada. Eu liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso é certamente suficiente.""",0.8744450807571411,0.8208370208740234,0.8467934727668762,0.9403820037841797,0.8805551528930664,0.9094858169555664
5,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando seu sino não era ouvido de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando o seu campainha não era audível a partir de sua loja na garagem.",0.9737286567687988,0.9534224271774292,0.963468611240387,0.954188346862793,0.9249482154846191,0.9393407702445984
6,"Ele construiu um sino de porta Wi-Fi, disse ele.","Ele montou uma campainha sem fio, disse.","Ele construiu um campainha de WiFi, disse ele.",0.8034543991088867,0.8010787963867188,0.8022648096084595,0.9210072755813599,0.9054101705551147,0.9131421446800232
7,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio de Shark Tank, onde o painel do show recusou financiar a startup.","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.","Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do programa recusou o financiamento da startup.",0.9487899541854858,0.9399610757827759,0.9443548917770386,0.9796707034111023,0.9726126194000244,0.976128876209259
8,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.",0.922598123550415,0.9075279235839844,0.9150009751319885,0.9999998807907104,0.9999998807907104,0.9999998807907104
9,"Ring também resolveu um processo com a empresa de segurança concorrente, a ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.","A Ring também resolveu uma ação judicial com a empresa de segurança concorrente, a ADT Corporation.",0.9292239546775818,0.9195347428321838,0.9243539571762085,0.9675106406211853,0.9509440660476685,0.959155797958374
10,"Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade por Ebola, até agora, não havia sido demonstrado claramente nenhum medicamento adequado para tratar a infecção existente.","Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","Enquanto uma vacina experimental parece capaz de reduzir a mortalidade por Ebola, até agora, nenhum medicamento foi claramente demonstrado como adequado para tratar infecções existentes.",0.916402280330658,0.9329217076301575,0.9245882034301758,0.9235594868659973,0.9315507411956787,0.9275379180908203
