id,translated_france,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,« Nous avons maintenant des souris âgées de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétique,"« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",0.8688499927520752,0.7260862588882446,0.7910786867141724,0.9222446084022522,0.805296778678894,0.8598122000694275
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",0.9202614426612854,0.7735516428947449,0.8405529260635376,0.9081011414527893,0.7674508094787598,0.8318727016448975
2,"l'instar de certains autres experts, il est sceptique quant à la question de savoir si le diabète peut être guéri et","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",0.8469822406768799,0.7668074369430542,0.8049032688140869,0.8334096670150757,0.7733953595161438,0.8022816777229309
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel pour la littérature de l'Académie suédoise, a annoncé publiquement","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",0.8523428440093994,0.7167563438415527,0.7786915898323059,0.8827691674232483,0.7302783727645874,0.7993158102035522
4,"Danius a dit : « En ce moment, nous ne faisons rien, j'ai téléphoné et envoyé des courriels","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",0.8513971567153931,0.7468156218528748,0.7956846952438354,0.8549656867980957,0.7482502460479736,0.7980563044548035
5,"Auparavant, le président-directeur général de Ring, Jamie Siminoff, a fait remarquer que l'entreprise avait commencé lorsque sa porte n","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",0.8985781669616699,0.8212414383888245,0.8581709861755371,0.8972254991531372,0.860599160194397,0.8785308003425598
6,"Il a construit une porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,Il a dit qu'il avait construit une sonnette WiFi.,0.7746044993400574,0.8574272394180298,0.8139143586158752,0.8124938607215881,0.8776099681854248,0.843797504901886
7,Siminoff a déclaré que les ventes ont augmenté après sa présentation en 2013 dans un épisode Shark Tank où le groupe d'experts a,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,0.9012347459793091,0.8400805592536926,0.8695837259292603,0.8975037336349487,0.8485555648803711,0.8723435401916504
8,"la fin de 2017, Siminoff a apparu sur la chaîne de télévision commerciale QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",0.9216443300247192,0.9081334471702576,0.9148390293121338,0.93834388256073,0.9574398994445801,0.9477957487106323
9,"Ring a également réglé une poursuite auprès d'une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",0.9560354948043823,0.9621084332466125,0.9590623378753662,0.9389998912811279,0.9580419063568115,0.94842529296875
