id,translated_arabian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""لدينا الآن فأر عمرها أربعة أشهر غير مرضى السكري وكانوا مرضى السكري""، أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",0.7792276740074158,0.7286460399627686,0.7530884146690369,0.7853389978408813,0.7729397416114807,0.7790899872779846
1,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس القسم السريري والعلمي لجمعية السكري الكندية من أن البحث لا يزال في أوائل أيامه.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,0.9087197184562683,0.9091418981552124,0.908930778503418,0.9489532709121704,0.9468945264816284,0.9479228258132935
2,مثل بعض الخبراء الآخرين، هو متشكك فيما إذا كان يمكن علاج مرض السكري، مشيرا إلى أن هذه النتائج ليست ذات صلة للأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,0.8720043897628784,0.8881059885025024,0.879981517791748,0.9583877325057983,0.9553083777427673,0.9568456411361694
3,يوم الاثنين، أعلنت سارة دانيوس، الأمين الدائم لجنة نوبل للأدب في الأكاديمية السويدية، علناً خلال برنامج راديوي على راديو سويفيرجيز في السويد، أن اللجنة، بعد عدم قدرتها على الاتصال بوب ديلان مباشرة حول الفوز بجائزة نوبل للأدب في عام 2016، قد تركت جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,0.8835774660110474,0.8770712614059448,0.8803123235702515,0.8950332403182983,0.8828355073928833,0.8888925909996033
4,"وقال دانيوس: ""في الوقت الحالي لا نفعل شيئاً. اتصلت وأرسل رسائل إلكترونية إلى أقرب موظف له وحصل على إجابات ودية للغاية.","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",0.8194497227668762,0.791375458240509,0.8051679134368896,0.8391648530960083,0.8025647401809692,0.820456862449646
5,"في وقت سابق، قال الرئيس التنفيذي لـ ""رينغ""، جيمي سيمينوف، إن الشركة بدأت عندما لم يسمع جرس الباب من متجر في المرآب.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,0.8555723428726196,0.8572796583175659,0.8564251661300659,0.8977174162864685,0.8952047228813171,0.8964592814445496
6,"لقد قام ببناء جرس الباب على شبكة ""وايفاي"" قال",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,قال إنه صنع جرس باب يعمل بالواي فاي.,0.7691360116004944,0.7714599370956421,0.7702962160110474,0.7523874044418335,0.7576371431350708,0.7550031542778015
7,"قال سيمينوف أن المبيعات ارتفعت بعد ظهوره في 2013 في حلقة ""شارك تانك"" حيث رفضت لجنة العرض تمويل الشركة الناشئة.",قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",0.9588732719421387,0.966914713382721,0.9628772735595703,0.9561734199523926,0.9526306390762329,0.9543987512588501
8,في أواخر عام 2017، ظهر سيمينوف على قناة التلفزيون التسوق QVC.,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,0.9110782146453857,0.8788738250732422,0.8946862816810608,0.9539013504981995,0.9386229515075684,0.9462004899978638
9,"كما حلّ رينغ دعوى قضائية مع شركة أمن منافسة، شركة ""إد تي""",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8695447444915771,0.8717548847198486,0.8706483840942383,0.8344515562057495,0.8270542621612549,0.8307364583015442
