id,translated_arabian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""لدينا الآن فئران عمرها 4 أشهر غير مصابة بالداء السكري التي كانت في السابق مصابة بالسكري"" أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",0.8261237740516663,0.8010250329971313,0.8133808374404907,0.8459323644638062,0.8602874279022217,0.8530495166778564
1,وحذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوسي في هاليفاكس، نوفا سكوشيا ورئيس القسم السريري والعلمي للرابطة الكندية لمرضى السكري، من أن البحث لا يزال في أيامه الأولى.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,0.8853691816329956,0.9095516204833984,0.8972975015640259,0.9322586059570312,0.953144907951355,0.9425860643386841
2,وهو، شأنه شأن بعض الخبراء الآخرين، متشكك فيما إذا كان من الممكن علاج مرض السكري، مشيراً إلى أن هذه النتائج لا صلة لها بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع 1.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,0.8196832537651062,0.8507943153381348,0.8349490761756897,0.8953166007995605,0.9216766357421875,0.9083054065704346
3,يوم الاثنين، سارا دانيوس، الأمينة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، التي أعلنت في برنامج إذاعي على إذاعة Sveriges في السويد، أن اللجنة، التي لم تتمكن من الوصول إلى بوب ديلان مباشرة بشأن الفوز بجائزة نوبل في الأدب لعام 2016، قد تخلت عن جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,0.9381664991378784,0.9248178005218506,0.9314443469047546,0.9278842806816101,0.9122283458709717,0.9199897050857544
4,"قال دانيوس: ""الآن نحن لا نفعل شيئا. لقد اتصلت وأرسلت بريدا الكترونيا لأقرب متعاون له واستلمت ردودا ودية جدا. في الوقت الحاضر، هذا يكفي بالتأكيد.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",0.8235875368118286,0.8297356367111206,0.8266501426696777,0.8869303464889526,0.8949146270751953,0.8909046053886414
5,سابقاً، المدير التنفيذي لـ(رينج)، (جيمي سيمينوف)، لاحظ أن الشركة بدأت عندما كان جرس بابه غير مسموع من متجره في مرآبه.,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,0.8654327392578125,0.8813546895980835,0.8733211159706116,0.8441497087478638,0.8502733707427979,0.8472004532814026
6,قال انه بنى باب واي فاي,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,قال إنه صنع جرس باب يعمل بالواي فاي.,0.8597396612167358,0.8035502433776855,0.8306958079338074,0.8555099964141846,0.8108364343643188,0.8325743675231934
7,Siminoff قال أن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك حيث رفض فريق العرض تمويل بدء التشغيل.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",0.9189528226852417,0.9154119491577148,0.9171789288520813,0.8793071508407593,0.8699963092803955,0.8746269345283508
8,وفي أواخر عام 2017، ظهر سيمينوف على قناة تليفزيونية تسوقية (QVC).,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,0.8601436614990234,0.8423898220062256,0.8511742353439331,0.8945948481559753,0.8945265412330627,0.894560694694519
9,وسوّت الشركة أيضاً دعوى قضائية مع شركة أمن منافسة، وهي شركة ADT Corporation.,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8619663715362549,0.8572621941566467,0.8596078753471375,0.8662076592445374,0.8422483205795288,0.8540599346160889
