id,translated_hindi,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""अब हमारे पास 4 महीने के चूहे हैं कि अविभ्यिक हैं,"" उन्होंने आगे कहा.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""हमारे पास अब 4 महीने के चूहे हैं जो पहले मधुमेह के थे लेकिन अब गैर-मधुमेह हैं,"" उन्होंने जोड़ा।",0.7944145202636719,0.7337728142738342,0.7628905177116394,0.8799870610237122,0.8149247169494629,0.8462071418762207
1,इस बारे में एहूद ऊर नाम के एक डॉक्टर ने चेतावनी दी कि कनाडा की डायबिटीज़ की जाँच के शुरूआती दिनों में भी की जा सकती है ।,"डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. एहुद उर, हलीफैक्स, नोवा स्कोटिया में डलहौजी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडाई मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी शुरुआती चरण में है।",0.763015866279602,0.6900513768196106,0.7247016429901123,0.7614794373512268,0.7046858072280884,0.7319825887680054
2,"कुछ अन्य विशेषज्ञों की तरह, वह इस बात पर संदेह करता है कि डायबिटीज़ ठीक हो सकती है या नहीं ।","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","जैसे कुछ अन्य विशेषज्ञ, वह यह मानने में संदेहशील हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह बताते हुए कि ये निष्कर्ष उन लोगों के लिए कोई प्रासंगिकता नहीं रखते जो पहले से टाइप 1 मधुमेह से प्रभावित हैं।",0.8387811183929443,0.7299894094467163,0.7806130051612854,0.7722617387771606,0.6942040324211121,0.731155514717102
3,"सन्‌ 2016 के दशक के आखिर में, सन्‌ 2016 में, ‘ द वॉचटावर सोसाइटी ’ के लिए वॉच टावर सोसाइटी के सदस्य, शासी निकाय के सदस्य, शासी निकाय के एक रेडियो कार्यक्रम के दौरान सबके सामने घोषणा की गयी ।","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","सोमवार को, सारा डेनियस, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति की स्थायी सचिव, ने स्वीडन के Sveriges Radio पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, जो 2016 के साहित्य में नोबेल पुरस्कार को लेकर बॉब डिलन से सीधे संपर्क नहीं कर पाई, ने उन्हें संपर्क करने के प्रयासों को छोड़ दिया है।",0.714165985584259,0.6752023696899414,0.6941378116607666,0.7090469598770142,0.6757106781005859,0.6919775605201721
4,"दानियुस ने कहा, अभी हम कुछ नहीं कर रहे हैं; मैं ने अपने सबसे निकट सहयोगियों को बुलाकर, बहुत ही दोस्ताना उत्तर दिए हैं।","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","डेनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके निकटतम सहयोगी को कॉल किया है और ईमेल भेजे हैं और बहुत दोस्ताना जवाब मिले हैं। फिलहाल, यह निश्चित रूप से काफी है।""",0.8090622425079346,0.7449003458023071,0.7756567001342773,0.860252857208252,0.7891919016838074,0.8231916427612305
5,"पहले, Ringsing Cannfffff, कंपनी ने कहा कि जब उसकी दरवाजे से उसकी दुकान से बात नहीं कर रहा था.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","पहले, रिंग के सीईओ, जेमी सिमिनॉफ, ने टिप्पणी की कि कंपनी की शुरुआत तब हुई जब उनका डोरबेल उनके गैरेज में उनकी दुकान से सुनाई नहीं देता था।",0.7776113748550415,0.7472389936447144,0.7621226906776428,0.7824916243553162,0.7408053874969482,0.7610780596733093
6,"उन्होंने कहा कि एक विफ़िक दरवाजा घंटी बनाया, उसने कहा.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",उसने कहा कि उसने एक वाईफाई दरवाजा बेल बनाया।,0.7844592928886414,0.7380166053771973,0.7605295181274414,0.84562748670578,0.8616374135017395,0.8535574078559875
7,यह रिपोर्ट आगे कहती है कि सन्‌ 2013 में एक शार्क के सामने हुई एक घटना पर गौर कीजिए ।,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.","सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक के एक एपिसोड में उनके प्रदर्शन के बाद बिक्री में वृद्धि हुई, जहां शो पैनल ने स्टार्टअप के लिए फंडिंग देने से इनकार कर दिया था।",0.7373360395431519,0.6938662528991699,0.7149409651756287,0.7418164014816284,0.7053952217102051,0.7231475710868835
8,"सन्‌ 2017 के आखिर में, टी. वी.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 के अंत में, सिमिनॉफ़ ने शॉपिंग टेलीविज़न चैनल QVC पर प्रदर्शन किया।",0.7276831865310669,0.6388938426971436,0.6804040670394897,0.7266937494277954,0.6473476886749268,0.6847297549247742
9,"इसके साथ - साथ, ए. डी. ए. ए. ए. ए. ए. डी. ए. ए. डी.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ भी एक मुकदमा निपटाया।",0.5848966240882874,0.5702903270721436,0.5775011777877808,0.6200484037399292,0.5791028738021851,0.5988765954971313
