id,translated_german,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",0.8458895683288574,0.8535633683204651,0.849709153175354,0.9232969284057617,0.9222198128700256,0.9227581024169922
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in ihren Anfängen ist.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",0.9018572568893433,0.8733878135681152,0.8873942494392395,0.9762944579124451,0.9730485677719116,0.9746688604354858
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, und stellt fest, dass diese Befunde für Menschen, die bereits an Typ-1-Diabetes leiden, keine Relevanz haben.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.","Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",0.9222283363342285,0.9118849039077759,0.917027473449707,0.947503924369812,0.9523545503616333,0.949923038482666
3,"Am Montag hatte Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, während eines Radioprogramms auf Sveriges Radio in Schweden öffentlich angekündigt, dass das Komitee Bob Dylan nicht direkt über den Preis für Literatur 2016 erreichen könne, seine Bemühungen aufgegeben, ihn zu erreichen.","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.","Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",0.8744628429412842,0.8400381207466125,0.856904923915863,0.9246404767036438,0.9118579030036926,0.9182047247886658
4,"Danius sagte: ""Im Moment tun wir nichts. Ich habe angerufen und E-Mails an seinen engsten Mitarbeiter geschickt und erhielt sehr freundliche Antworten. Für den Moment, das ist sicherlich genug.""",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,0.88774573802948,0.8918544054031372,0.8897953033447266,0.9009392857551575,0.9094765186309814,0.9051878452301025
5,"Zuvor bemerkte Rings CEO, Jamie Siminoff, dass das Unternehmen begann, als seine Türklingel von seinem Laden in seiner Garage nicht hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.","Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",0.8638718128204346,0.8656136989593506,0.864741861820221,0.9320333003997803,0.9135729074478149,0.9227107763290405
6,"Er hat eine WiFi-Türglocke gebaut, sagte er.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.","Er hat eine WLAN-Türklingel gebaut, sagte er.",0.7990127205848694,0.8018555641174316,0.8004316091537476,0.8841397166252136,0.8919562101364136,0.8880308270454407
7,"Siminoff sagte, dass der Umsatz nach seinem Auftritt 2013 in einem Shark Tank Episode, wo die Show-Panel lehnte die Finanzierung des Startups.","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.","Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",0.8384901285171509,0.7860031127929688,0.8113986849784851,0.8709514141082764,0.8200535774230957,0.8447365164756775
8,Ende 2017 erschien Siminoff auf dem Einkaufskanal QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,0.8665561676025391,0.8452768325805664,0.8557842373847961,0.9127152562141418,0.8777696490287781,0.8949014544487
9,"Ring ordnete auch eine Klage mit konkurrierenden Sicherheitsunternehmen, der ADT Corporation.",Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",0.8523724675178528,0.8495394587516785,0.8509536385536194,0.9275975823402405,0.9050254225730896,0.9161725044250488
