id,translated_german,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
0,"""Wir haben jetzt vier Monate alte Mäuse, die nicht diabetisch sind und früher diabetisch waren"", fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.","„Wir haben jetzt 4 Monate alte Mäuse, die nicht-diabetisch sind und früher diabetisch waren“, fügte er hinzu.",0.8627957105636597,0.8640967607498169,0.8634456992149353,0.9425779581069946,0.9341673254966736,0.9383538365364075
1,"Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, daß die Forschung noch in den frühen Tagen sei.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der Abteilung für Klinik und Wissenschaft des Kanadischen Diabetesverbands gab zu bedenken, dass die Forschungsarbeit noch in den Kinderschuhen stecke.","Dr. Ehud Ur, Professor für Medizin an der Dalhousie University in Halifax, Nova Scotia, und Vorsitzender der klinischen und wissenschaftlichen Abteilung der Canadian Diabetes Association, warnte, dass die Forschung noch in den frühen Phasen ist.",0.9179078340530396,0.8845072984695435,0.9008980989456177,0.9815483689308167,0.9790329933166504,0.980289101600647
2,"Wie einige andere Experten ist er skeptisch, ob Diabetes geheilt werden kann, und stellt fest, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, nicht relevant sind.","Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.","Wie einige andere Experten ist er skeptisch, ob Diabetes heilbar ist, und merkt an, dass diese Erkenntnisse für Menschen, die bereits Typ-1-Diabetes haben, keine Relevanz haben.",0.9100837111473083,0.8926652669906616,0.9012903571128845,0.9548490643501282,0.946213960647583,0.9505119323730469
3,"Am Montag kündigte Sara Danius, ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, während eines Radioprogramms am Sveriges Radio in Schweden öffentlich an, dass das Komitee, das Bob Dylan nicht direkt über den Gewinn des Nobelpreises für Literatur 2016 erreichen konnte, seine Bemühungen aufgegeben hatte, ihn zu erreichen.","Am Montag gab Sara Danius, Ständige Sekretärin des Literaturnobelpreiskomitees der Schwedischen Akademie in einer Radiosendung auf Sveriges Radio in Schweden bekannt, dass das Komitee seine Bemühungen eingestellt habe, Bob Dylan über seine Ehrung mit dem Literaturnobelpreis für Literator zu informieren, nachdem es nicht gelungen war, ihn persönlich zu erreichen.","Am Montag gab Sara Danius, die ständige Sekretärin des Nobelkomitees für Literatur an der Schwedischen Akademie, in einem Radioprogramm von Sveriges Radio in Schweden öffentlich bekannt, dass das Komitee, das Bob Dylan wegen seines Gewinns des Nobelpreises für Literatur 2016 nicht direkt erreichen konnte, seine Bemühungen, ihn zu erreichen, aufgegeben hatte.",0.8676401376724243,0.8429364562034607,0.8551099300384521,0.955272912979126,0.9555662274360657,0.9554196000099182
4,"Danius sagte: ""Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails geschickt und sehr freundliche Antworten erhalten.",Danius sagte: „Im Moment unternehmen wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und ihm E-Mails geschickt und sehr freundliche Antworten erhalten. Das ist vorläufig genug.“,Danius sagte: „Im Moment tun wir nichts. Ich habe seinen engsten Mitarbeiter angerufen und E-Mails gesendet und sehr freundliche Antworten erhalten. Für jetzt ist das sicherlich genug.“,0.9571003913879395,0.8868701457977295,0.9206478595733643,0.9601776599884033,0.8966522812843323,0.9273282885551453
5,"Zuvor sagte Ring-Chef Jamie Siminoff, das Unternehmen sei gegründet worden, als seine Türglocke nicht von seinem Laden in seiner Garage hörbar war.","Rings CEO Jamie Siminoff sagte einmal, dass er das Unternehmen gegründet habe, nachdem er von seiner Garagenwerkstatt aus seine Türklingel nicht hören konnte.","Zuvor bemerkte der CEO von Ring, Jamie Siminoff, dass das Unternehmen gegründet wurde, als seine Türklingel aus seinem Geschäft in der Garage nicht zu hören war.",0.8418992757797241,0.8465796709060669,0.844232976436615,0.8669723868370056,0.8568979501724243,0.8619057536125183
6,"Er hat eine WLAN-Türglocke gebaut, sagte er.","Er sagte, dass er eine WLAN-Türklingel gebaut habe.","Er hat eine WLAN-Türklingel gebaut, sagte er.",0.8436663150787354,0.8459243774414062,0.8447937965393066,0.9245826005935669,0.9340181350708008,0.9292764067649841
7,"Siminoff sagte, die Umsätze stiegen nach seinem Auftritt 2013 in einer Shark Tank Episode, wo die Show-Panel verweigerte, das Startup zu finanzieren.","Siminoff sagte, die Verkäufe seien nach seinem Auftritt in einer Folge von „Shark Tank“ im Jahre 2013 stark gestiegen, obwohl die Jury der Sendung die Finanzierung seines Start-ups abgelehnt hatte.","Siminoff sagte, dass die Verkaufszahlen nach seinem Auftritt in einer Episode von Shark Tank im Jahr 2013 gestiegen sind, in der das Podium der Show die Finanzierung des Startups ablehnte.",0.8338631391525269,0.815625786781311,0.8246436715126038,0.8532323837280273,0.8465772867202759,0.8498918414115906
8,Ende 2017 erschien Siminoff im Einkaufsfernsehsender QVC.,Ende 2017 trat Siminoff im Teleshopping-Sender QVC auf.,Im späten Jahr 2017 trat Siminoff im Einkaufstelevisionkanal QVC auf.,0.8822548985481262,0.8703556060791016,0.8762648701667786,0.912467360496521,0.88276606798172,0.8973709344863892
9,Ring hat auch eine Klage mit dem Wettbewerber der Sicherheitsfirma ADT Corporation belegt.,Ring hat außerdem eine Rechtsstreitigkeit mit der konkurrierenden Sicherheitsfirma ADT Corporation beigelegt.,"Ring hat auch eine Klage mit dem konkurrierenden Sicherheitsunternehmen, der ADT Corporation, beigelegt.",0.8992756605148315,0.8555346727371216,0.8768600225448608,0.8977851867675781,0.8461487293243408,0.8712024688720703
10,"Während ein Versuchsimpfstoff die Sterblichkeit durch Ebola verringern kann, ist bisher kein Medikament für die Behandlung einer bestehenden Infektion geeignet.","Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.","Während ein experimenteller Impfstoff anscheinend in der Lage ist, die Ebola-Mortalität zu verringern, wurde bislang kein Medikament als eindeutig geeignet zur Behandlung einer bestehenden Infektion nachgewiesen.",0.8477109670639038,0.7978601455688477,0.8220304250717163,0.894223690032959,0.8314968347549438,0.8617202639579773
11,"Ein Antikörpercocktail, ZMapp, zeigte sich zunächst vielversprechend, aber offizielle Studien zeigten, dass es weniger Nutzen als bei der Verhinderung des Todes hatte.","Ein Antikörper-Cocktail, ZMapp, erwies sich zunächst als vielversprechend, formelle Studien zeigten jedoch, dass er, was die Verhinderung von Todesfällen anbelangt, weniger Vorteile brachte als erhofft.","Ein Antikörpercocktail, ZMapp, zeigte zunächst vielversprechende Ergebnisse in diesem Bereich, aber formelle Studien ergaben, dass er weniger Nutzen bei der Verhinderung von Todesfällen hatte als erhofft.",0.9011372327804565,0.8405251502990723,0.8697765469551086,0.9255993366241455,0.8818008899688721,0.9031693935394287
12,"In der PALM-Studie diente ZMapp als Kontrollmethode, was bedeutet, dass Wissenschaftler sie als Basiswert verwendeten und die drei anderen Behandlungen mit ihr verglichen haben.","In der PALM-Studie diente ZMapp als Kontrolle, d.h. die Wissenschaftler verwendeten es als Ausgangsbasis und verglichen die drei anderen Behandlungen damit.","In der PALM-Studie diente ZMapp als Kontrollmittel, was bedeutet, dass die Wissenschaftler es als Basis verwendeten und die drei anderen Behandlungen mit ihm verglichen.",0.8519995212554932,0.8653662204742432,0.858630895614624,0.9383509159088135,0.951331615447998,0.9447966814041138
13,"USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert die absolute Notwendigkeit der Olympischen Familie, eine sichere Umgebung für alle unsere Athleten zu fördern.","USA Gymnastics unterstützt den Brief des Olympischen Komitees der Vereinigten Staaten und akzeptiert es als absolute Notwendigkeit, dass sich die olympische Familie für ein sicheres Umfeld für alle unsere Sportler einsetzt.","Die USA Gymnastik unterstützt den Brief des United States Olympic Committee und akzeptiert die absolute Notwendigkeit der Olympischen Familie, ein sicheres Umfeld für alle unsere Athleten zu fördern.",0.913833737373352,0.8998825550079346,0.9068045020103455,0.9444853067398071,0.9529963731765747,0.948721706867218
14,"Wir stimmen der Aussage des USOC zu, dass die Interessen unserer Athleten und Clubs und ihres Sports besser bedient werden können, wenn wir mit einer bedeutenden Veränderung innerhalb unserer Organisation vorangehen, anstatt die Abzertifizierung zu machen.","Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.","Wir stimmen der Erklärung des USOC zu, dass die Interessen unserer Athleten und Vereine sowie ihres Sports besser durch eine sinnvolle Veränderung innerhalb unserer Organisation bedient werden können, anstatt durch eine Aberkennung der Zertifizierung.",0.889918327331543,0.8822941780090332,0.8860898613929749,0.8846043944358826,0.9012734293937683,0.8928610682487488
15,"USA Gymnastics unterstützt eine unabhängige Untersuchung, die Licht darauf werfen könnte, wie der Missbrauch der so mutig beschriebenen Proportion durch die Überlebenden von Larry Nassar so lange nicht erkannt worden sein könnte und erforderliche und angemessene Änderungen umfasst.","USA Gymnastics unterstützt eine unabhängige Untersuchung, die ans Licht bringen könnte, wie Missbrauch in dem Ausmaß, das von den Überlebenden von Lary Nassar so mutig beschrieben wurde, so lange unentdeckt bleiben konnte, und heißt alle notwendigen und angemessenen Veränderungen willkommen.","USA Gymnastics unterstützt eine unabhängige Untersuchung, die möglicherweise aufdecken kann, wie der Missbrauch in dem Maße, wie ihn die Überlebenden von Larry Nassar so mutig beschrieben haben, so lange unentdeckt bleiben konnte, und begrüßt alle notwendigen und angemessenen Veränderungen.",0.8493974208831787,0.8342816829681396,0.84177166223526,0.8610068559646606,0.8423278331756592,0.8515649437904358
16,"USA Gymnastics und das USOC haben das gleiche Ziel  den Sport der Gymnastik und anderer zu machen, so sicher wie möglich für Athleten, ihre Träume in einer sicheren, positiven und befähigen Umgebung zu verfolgen.","USA Gymnastics und das USOC haben das gleiche Ziel - den Turnsport und andere Sportarten für die Athleten so sicher wie möglich zu machen, damit sie ihren Träumen in einer sicheren, positiven und selbstbestimmten Umgebung folgen können.","Die USA Gymnastics und das USOC haben dasselbe Ziel – den Leistungssport Gymnastik und andere Sportarten so sicher wie möglich zu gestalten, damit Athleten ihre Träume in einer sicheren, positiven und gestärkten Umgebung verfolgen können.",0.8982774019241333,0.8815797567367554,0.8898502588272095,0.9081626534461975,0.8820309638977051,0.8949061036109924
17,In den 1960er Jahren arbeitete Brzezinski für John F. Kennedy als Berater und dann für die Regierung von Lyndon B. Johnson.,Während der 1960er-Jahre arbeitete Brzezinski als Berater für John F. Kennedy sowie anschließend für die Regierung rund um Lyndon B. Johnson.,Während der 1960er Jahre arbeitete Brzezinski als Berater für John F. Kennedy und anschließend für die Verwaltung von Lyndon B. Johnson.,0.9583116769790649,0.9484192728996277,0.9533398151397705,0.9650201797485352,0.9650201201438904,0.9650201201438904
18,"Während der Wahlen von 1976 berät er Carter in der Außenpolitik, diente dann von 1977 bis 1981 als National Security Advisor (NSA), als Erfolg für Henry Kissinger.",Während der Wahlen im Jahre 1976 beriet er Carter in der Außenpolitik und diente dann von 1977 bis 1981 in Nachfolge von Henry Kissinger als als nationaler Sicherheitsberater (NSA).,Während der Auswahlverfahren 1976 beriet er Carter in Fragen der Außenpolitik und diente dann von 1977 bis 1981 als Nationaler Sicherheitsberater (NSA) und folgte Henry Kissinger nach.,0.9017103910446167,0.8918951749801636,0.8967759609222412,0.8925716876983643,0.8882774114608765,0.8904193639755249
19,"Als NSA unterstützte er Carter bei der diplomatischen Abwicklung der Weltangelegenheiten, wie z. B. den Camp David-Abkommen von 1978; die Normalisierung der US-Chinesischen Beziehungen in den späten 1970er Jahren; die iranische Revolution, die zur Iran-Geiselkrise führte; und die sowjetische Invasion in Afghanistan von 1979.","Als nationaler Sicherheitsberater unterstützte er Carter bei der diplomatischen Handhabung von Weltangelegenheiten wie dem Camp-David-Abkommen von 1978, der Normalisierung der Beziehungen zwischen den USA und China Ende der 1970er Jahre, der iranischen Revolution, die zur Geiselkrise im Iran 1979 führte, und der sowjetischen Invasion in Afghanistan 1979.","Als NSA unterstützte er Carter dabei, weltpolitische Angelegenheiten diplomatisch zu regeln, wie zum Beispiel die Camp-David-Abkommen von 1978; die Normalisierung der US-amerikanischen Beziehungen zu China in den späten 1970er Jahren; die iranische Revolution, die zur Geiselnahme im Iran von 1979 führte; und die sowjetische Invasion in Afghanistan von 1979.",0.8807030916213989,0.8825252652168274,0.8816131949424744,0.9192726612091064,0.9064573645591736,0.9128199815750122
20,Der Film mit Ryan Gosling und Emma Stone erhielt Nominierungen in allen wichtigen Kategorien.,Der Film mit Ryan Gosling und Emma Stone hat Nominierungen in allen Hauptkategorien erhalten.,Der Film mit Ryan Gosling und Emma Stone erhielt Nominierungen in allen wichtigen Kategorien.,0.957008421421051,0.9406954050064087,0.9487817883491516,0.9999999403953552,0.9999999403953552,0.9999999403953552
21,Gosling und Stone erhielten Nominierungen für Best Actor und Best Actress.,Gosling und Stone wurden als bester Schauspieler beziehungsweise beste Schauspielerin nominiert.,Gosling und Stone erhielten Nominierungen für den besten Schauspieler bzw. die beste Schauspielerin.,0.9010810852050781,0.9106152653694153,0.9058231115341187,0.9368115067481995,0.8968349099159241,0.9163874387741089
22,"Zu den weiteren Nominierungen gehören Best Picture, Director, Cinematography, Costume Design, Film-Editing, Original Score, Production Design, Sound Editing, Sound Mixing und Original Screenplay.","Weitere Nominierungen gibt es zum Beispiel für den besten Film, die Regie, die Kameraführung, das Kostümbild, den Schnitt, die Original-Filmmusik, das Produktionsdesign, den Tonschnitt, die Tonmischung und das Original-Drehbuch.","Die weiteren Nominierungen umfassen Beste Film, Regie, Kamera, Kostümbild, Film-Editing, Originalmusik, Produktionsdesign, Tonbearbeitung, Sound Mixing und Originaldrehbuch.",0.806789755821228,0.7739511132240295,0.7900292873382568,0.8892355561256409,0.854766845703125,0.8716606497764587
23,"Zwei Songs aus dem Film, Audition (The Fools Who Dream) und City of Stars, wurden für den Titel ""Bester Original Song"" nominiert.","Zwei Lieder aus dem Kinofilm, Audition (The Fools Who Dream) und City of Stars, bekamen Nominierungen für das beste eigenständige Lied. Lionsgate Studio bekam 26 Nominierungen – mehr als jedes andere Filmstudio.","Zwei Lieder aus dem Film, Audition (The Fools Who Dream) und City of Stars, erhielten Nominierungen für den besten Song. Das Studio Lionsgate erhielt 26 Nominierungen – mehr als jedes andere Studio.",0.9044191837310791,0.8212810754776001,0.8608474731445312,0.90947425365448,0.8342599868774414,0.8702449798583984
24,"Am Sonntag verspätete der US-Präsident Donald Trump in einer Erklärung, die er über den Pressesekretär abgegeben hatte, die Verließung der US-Truppen in Syrien.","Am späten Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer durch den Pressesekretär verlesenen Erklärung an, dass die US-Truppen Syrien verlassen würden.","Spät am Sonntag kündigte der Präsident der Vereinigten Staaten, Donald Trump, in einer Erklärung, die über den Pressesprecher übermittelt wurde, an, dass die US-Truppen Syrien verlassen würden.",0.821835994720459,0.8346275091171265,0.8281823396682739,0.8467896580696106,0.84006667137146,0.843414843082428
25,Die Ankündigung erfolgte nach einem Telefongespräch mit dem türkischen Präsidenten Recep Tayyip Erdogan.,Die Ankündigung erfolgte nach einem Telefongespräch von Trump mit dem türkischen Präsidenten Recep Tayyip Erdoğan.,"Die Ankündigung wurde gemacht, nachdem Trump ein Telefonat mit dem türkischen Präsidenten Recep Tayyip Erdoğan geführt hatte.",0.9519986510276794,0.9413959980010986,0.9466676115989685,0.8650362491607666,0.8579697608947754,0.8614884614944458
26,"Die Türkei würde auch die Wache über die gefangenen ISIS-Kämpfer übernehmen, die die europäischen Nationen, wie die Erklärung sagt, weigerten, zurückzubringen.","Die Türkei würde die Überwachung gefasster ISIS-Kämpfer durchführen, deren Rückführung, so hieß es in dem Statement, von europäischen Ländern abgelehnt wurde.","Die Türkei würde auch die Bewachung gefangener ISIS-Kämpfer übernehmen, die, wie in der Erklärung erwähnt, von europäischen Ländern zurückgewiesen wurden, repatriiert zu werden.",0.7995928525924683,0.8030326962471008,0.8013090491294861,0.8703898191452026,0.8553307056427002,0.8627945780754089
27,"Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine bereits weit verbreitete Theorie, sondern liefert auch Details, die Fossilien im Allgemeinen nicht können, wie Farbe und dreidimensionale Anordnung.","Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.","Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine bereits weit verbreitete Theorie, sondern liefert auch Details, die Fossilien im Allgemeinen nicht bieten können, wie Farbe und dreidimensionale Anordnung.",0.9646265506744385,0.942600429058075,0.9534862637519836,0.9943650364875793,0.989569365978241,0.9919614195823669
28,"Wissenschaftler sagen, dass die Feder des Tieres kastanienbraun war, mit einer blassen oder karotinoidenfarbenen Unterseite.","Wissenschaftler sagen, dass das Gefieder dieses Tieres auf der Oberseite kastanienbraun und auf der Unterseite hell- oder carotinoidfarben war.","Wissenschaftler sagen, dass das Federkleid dieses Tieres oben kastanienbraun und an der Unterseite blass oder carotinoidfarben war.",0.8663246631622314,0.8417142033576965,0.8538421988487244,0.893241286277771,0.872127890586853,0.8825583457946777
29,Die Entdeckung gibt auch Einblick in die Entwicklung von Federn bei Vögeln.,Der Fund gewährt auch Einblicke in die Evolution von Federn bei Vögeln.,Der Fund gewährt auch Einblicke in die Entwicklung von Federn bei Vögeln.,0.9319621920585632,0.9074337482452393,0.9195343852043152,0.9416844844818115,0.9164338111877441,0.9288876056671143
30,"Weil die Dinosaurierfedern keinen gut entwickelten Schacht haben, der als Rachis bezeichnet wird, sondern andere Feinscharakteristika haben  Barben und Barbulen  die Forscher schlussfolgerten, dass die Rachis wahrscheinlich eine spätere evolutionäre Entwicklung war, als diese anderen Merkmale.","Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.","Da die Dinosaurierfedern keinen gut entwickelten Schaft, den sogenannten Rachis, besitzen, aber andere Merkmale von Federn – Haken und Häkchen – aufweisen, schlossen die Forscher daraus, dass der Rachis wahrscheinlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.",0.8695905208587646,0.866787850856781,0.868186891078949,0.839176595211029,0.8381768465042114,0.8386764526367188
31,"Die Struktur der Federn deutet darauf hin, dass sie nicht im Flug verwendet wurden, sondern eher zur Temperaturregelung oder -anzeige.","Die Struktur der Federn lässt vermuten, dass sie nicht zum Fliegen,, sondern eher zur Temperaturregulierung oder zum Herzeigen verwendet wurden. Die Forscher vermuteten, dass die Probe, obwohl es sich um den Schwanz eines jungen Dinosauriers handelt, das Gefieder eines Ausgewachsenen zeigt und nicht die Daunen eines Kükens.","Die Struktur der Federn deutet darauf hin, dass sie nicht im Flug verwendet wurden, sondern eher zur Temperaturregulierung oder zur Schau. Die Forscher schlugen vor, dass, obwohl dies der Schwanz eines jungen Dinosauriers ist, die Probe ein Erwachsenengefieder und nicht das Daunenfieder eines Kükens zeigt.",0.8301974534988403,0.7203424572944641,0.7713783383369446,0.8900989890098572,0.7537944912910461,0.816295862197876
32,"Die Forscher schlugen vor, dass, obwohl es sich um den Schwanz eines jungen Dinosauriers handelt, die Probe Erwachsenenflügel und keine Kükenfläche zeigt.","Die Forscher behaupteten, dass, obwohl dies der Schwanz eines jungen Dinosauriers ist, die Probe das Gefieder eines Erwachsenen und keine Kükendaunen zeigt.","Die Forscher schlugen vor, dass, obwohl dies der Schwanz eines jungen Dinosauriers ist, das Sample das Gefieder eines Erwachsenen zeigt und nicht das Daunenfeder eines Kükens.",0.8943140506744385,0.8872356414794922,0.8907607793807983,0.8677505850791931,0.8515516519546509,0.8595748543739319
33,"Eine Autobombe, die gestern Morgen am Polizeikommissariat in Gaziantep, Türkei, explodiert wurde, tötete zwei Polizisten und verletzte mehr als zwanzig weitere Menschen.","Eine Autobombe detonierte am Morgen des gestrigen Tages im Polizeipräsidium des türkischen Gaziantep, tötete zwei Polizisten und verwundete über zwanzig weitere Menschen.","Eine Autob Bombe detonierte gestern Morgen am Polizeihauptquartier in Gaziantep, Türkei, tötete zwei Polizeibeamte und verletzte mehr als zwanzig andere Personen.",0.8602496385574341,0.8675670623779297,0.8638928532600403,0.8920568823814392,0.9065181016921997,0.8992293477058411
34,"Das Büro des Gouverneurs sagte, 19 der Verletzten seien Polizisten.",Nach Angaben des Gouverneursbüros handelt es sich bei neunzehn der Verletzten um Polizeibeamte.,"Das Büro des Gouverneurs teilte mit, dass neunzehn der Verletzten Polizisten waren.",0.8411272764205933,0.7959659099578857,0.8179236650466919,0.9280707240104675,0.9044731855392456,0.9161200523376465
35,"Die Polizei sagte, sie vermutete, dass ein angeblicher Daesh-Militierer für den Angriff verantwortlich sei.","Die Polizei sagte, dass sie einen militanten Anhänger von Daesh (ISIL) hinter dem Angriff vermuten.","Die Polizei sagte, sie verdächtige einen mutmaßlichen Dschihadisten des IS (Daesh), für den Angriff verantwortlich zu sein.",0.8319801688194275,0.818172812461853,0.8250187635421753,0.8401264548301697,0.7793090343475342,0.8085757493972778
